start,miny,maxy,center,trend,amplitude
254,255,263,260,-8.43184258343197e-05,0.0010590241723540726
254,255,268,261,-1.8622081866434854e-05,0.0004676821020940992
254,255,270,262,-1.5889271604077312e-05,0.0001759849419737535
254,255,270,265,-5.764817224698769e-06,0.0014700715446787243
254,255,270,265,-7.2929553090982066e-06,0.0014494683698716491
254,255,270,265,-9.993287705023229e-05,0.0012391371106146127
254,255,271,266,-8.611610348561457e-06,0.0008172848789742783
254,255,271,266,-8.589665188348123e-06,0.0009356438436584223
254,255,275,270,-8.15440098883535e-05,0.0009445977412558221
254,260,274,271,-1.1501822972207648e-05,0.0006879740887924309
254,260,276,272,-4.6008482012971004e-05,0.0007394125314877203
254,261,279,275,-4.625498891793439e-05,0.0012035925819538654
254,265,293,285,-9.036190704538947e-05,0.0011065438191576675
