miny,maxy,center,trend,amplitude
229,245,241,-0.0005929337892762083,0.011849044288198165
242,248,244,4.6412850994961174e-05,0.010719135082931269
243,251,246,6.1611565247415e-05,0.01391270319678236
254,271,265,9.675278208877593e-06,0.0059562547846355495
275,293,286,-9.039272036942989e-05,0.005667535390066009
276,290,284,-8.232390405303638e-05,0.008587065365142733
277,291,284,-6.835719194225443e-05,0.012436865340727769
278,291,286,-7.744386933417031e-05,0.013713822886187716
283,298,293,-0.000125878137844883,0.015694000872775903
284,299,294,-0.0001276996927355528,0.01407602435070349
285,301,296,-0.00012943944831910064,0.011529419472165778
286,307,301,-0.00014807807792441828,0.007179252831640685
294,308,305,-0.00015455901223645813,0.008814894567796393
295,311,307,-0.00015937820411013776,0.009812992084706856
301,312,308,2.696528752192189e-05,0.008098580865481108
307,335,326,-7.678416007427614e-05,0.007053899479580465
355,361,356,0.00024133904565745807,0.0064018529232937335
398,407,403,-1.4801719989383894e-05,0.006411402996090468
400,412,407,-8.930798702129407e-05,0.007300994780124133
416,433,429,-0.0001444344038976977,0.0034187353645029643
427,438,433,-0.00032442155109315595,0.004305625609248196
435,450,445,-0.0003193281003240284,0.011082388667531869
436,453,447,-0.00034599885467187535,0.007837468454102266
437,454,449,-0.0003333853900100323,0.008229311141153328
438,457,451,-0.00032556746610176745,0.005516470453931183
439,457,452,-0.00029030471830624474,0.00574207495261751
446,462,458,-0.00020960322203220102,0.005458373970825403
447,464,460,-0.00019585556794494646,0.005745893564940035
448,466,461,-0.00016564356956681771,0.005655584365098641
450,469,464,-0.00014474276110983258,0.006438193812336715
463,479,473,0.00024996908530535014,0.008394597805829232
475,491,487,0.0003016613975352825,0.004956014278054559
484,490,486,0.0001670436419490164,0.004268073875469856
486,494,489,0.00010873348802954685,0.004949546884526865
487,497,492,8.921500789682097e-05,0.005261483652987919
488,499,494,7.061769960773788e-05,0.006061706835865783
489,503,496,3.3067017847440967e-05,0.005555918755557526
490,502,495,-1.3360377818942816e-05,0.004953834750315862
