miny,maxy,center,trend,amplitude
229,245,241,0.0008498533636148521,0.011849044288198165
242,248,244,-0.00047751785407002873,0.010719135082931269
243,251,246,-0.00043134315092333177,0.01391270319678236
254,271,265,0.00014565342679012736,0.0059562547846355495
275,293,286,-0.0005749970302040751,0.005667535390066009
276,290,284,-0.00041831959692644925,0.008587065365142733
277,291,284,-0.00023407281445704433,0.012436865340727769
278,291,286,-0.00014250812872370036,0.013713822886187716
283,298,293,0.00020018024163135408,0.015694000872775903
284,299,294,0.00026344076052852605,0.01407602435070349
285,301,296,0.00030832150685450787,0.011529419472165778
286,307,301,0.00026548796280914606,0.007179252831640685
294,308,305,0.00020903451582016366,0.008814894567796393
295,311,307,0.00014320792207223143,0.009812992084706856
301,312,308,9.81369412216607e-05,0.008098580865481108
307,335,326,-4.922416424245631e-05,0.007053899479580465
355,361,356,0.00010774956866367206,0.0064018529232937335
398,407,403,-0.00027083762510105583,0.006411402996090468
400,412,407,-0.00034331385366764204,0.007300994780124133
416,433,429,0.00023336538602344102,0.0034187353645029643
427,438,433,-0.0005879885291772255,0.004305625609248196
435,450,445,3.05941129004087e-05,0.011082388667531869
436,453,447,-4.214558845041926e-05,0.007837468454102266
437,454,449,2.9798442440726954e-05,0.008229311141153328
438,457,451,6.996813133315158e-05,0.005516470453931183
439,457,452,0.0002023841660787101,0.00574207495261751
446,462,458,0.0003708579248221752,0.005458373970825403
447,464,460,0.0003327766841063805,0.005745893564940035
448,466,461,0.00034337844681351997,0.005655584365098641
450,469,464,0.0003035030403824227,0.006438193812336715
463,479,473,0.00037132978051122075,0.008394597805829232
475,491,487,0.0003002269427513464,0.004956014278054559
484,490,486,-0.00034241915299668797,0.004268073875469856
486,494,489,-0.00034971452169561427,0.004949546884526865
487,497,492,-0.00029978967888894876,0.005261483652987919
488,499,494,-0.00024237338979529824,0.006061706835865783
489,503,496,-0.0002583612062544853,0.005555918755557526
490,502,495,-0.0003080710180883682,0.004953834750315862
491,500,493,-0.00036083664326448574,0.004509600075530067
493,511,504,-0.0003668338623159787,0.0041179469981668
494,513,506,-0.00035361448273592234,0.0036463689453471886
495,512,506,-0.0002629449605247343,0.00458680513534507
506,522,517,0.0002777796205383066,0.0026950654956496723
508,523,519,0.00023871454475245772,0.003595847304398118
510,525,521,0.0002038131127336111,0.004758554215635901
511,526,522,0.00020637829586797184,0.00501154720172956
511,527,523,0.00024588405092503126,0.00486905724827519
513,529,525,0.00040199805998769464,0.004397753250864523
516,533,529,0.0003326454773181487,0.005598566913281672
526,536,532,-2.6361881666824913e-05,0.006228201382946488
527,537,533,3.39962754014636e-05,0.006692107463060964
528,538,533,4.726742678739299e-05,0.00623827451863314
541,548,545,-8.75530635803218e-05,0.003538580839568152
545,556,552,0.00015828932238997324,0.005417984248920663
546,558,554,0.0001366049338638449,0.004838024148233582
549,570,565,-0.00017023024134368237,0.002563077551976918
552,582,575,-0.0001169729579025448,0.0028462958192834865
555,571,566,0.0002479594222485221,0.0029001115862471996
556,573,569,0.00036858343267226555,0.0025691058504147928
559,574,571,7.513571088662843e-05,0.0041425152692296085
576,585,581,-0.00017593126381040927,0.0021104508835134814
577,587,582,-0.00015768131528405416,0.0031148802169823813
620,628,625,-9.352179841017e-05,0.003528270649168243
625,637,633,1.37545743956954e-05,0.0044508567562584565
635,648,645,-9.428279012398737e-05,0.00387508144366141
637,644,641,-5.2738051713641835e-05,0.004888014056446668
638,645,642,6.5929362501781e-05,0.0056451611941005595
