start,miny,maxy,center,trend,amplitude
235,236,247,242,-1.6619277589485955e-05,0.000773702403712543
236,237,254,249,-1.8043880304859e-05,0.0007696996465928515
226,238,248,245,-1.13154340757223e-05,0.0006574799170003342
237,238,255,250,-1.7935471087098733e-05,0.0007546683373724583
238,239,257,251,-1.5930845174697296e-05,0.0007520847782122482
239,240,259,253,-1.4691528021427994e-05,0.0006650600579035586
246,253,274,267,-1.1625076473307583e-05,0.0005060860224835109
264,265,288,284,-4.781929117692352e-05,0.0005751990719857337
265,266,271,269,-4.749438048806395e-05,0.0007497020274989555
266,267,273,270,-5.1551650215567865e-05,0.0008043560535939421
267,268,278,273,-5.648487478828537e-05,0.0009082016581593344
268,269,280,275,-6.660858882216158e-05,0.0005944132835867424
288,293,310,306,-0.0001020672134277952,0.0015201154926074549
296,301,311,309,-4.2857886716701455e-05,0.0007048551452923564
309,310,315,312,-8.885327412371827e-05,0.0016023361403911173
310,311,321,317,-8.25028528642114e-05,0.002443699907382374
323,329,345,341,-5.63050604619919e-05,0.002421917010025947
330,331,339,336,-1.1857133457267203e-05,0.0026194129374878653
343,344,359,352,7.703071577593842e-05,0.002215893672171244
363,364,373,370,3.1986403157359054e-05,0.0010016199879829303
364,365,374,370,2.848919306802749e-05,0.0008544636891130343
370,371,387,382,1.720978264403757e-05,0.0011311489432687624
397,398,405,401,6.974093649001128e-05,0.000850629643477412
398,399,407,403,6.478682828631752e-05,0.0012520264073334277
407,408,419,414,-1.585666531859909e-05,0.0015850901810275963
408,409,421,415,-2.1897547065956775e-05,0.0013373258905961093
409,410,425,419,-2.9125364258322317e-05,0.001059506748182706
410,411,423,416,-3.525359354920269e-05,0.0008840211129777045
411,412,423,418,-3.9582255900121034e-05,0.0009493721459809648
415,416,430,426,-5.681762600220685e-05,0.0013871695916564603
416,417,433,429,-6.0405091431028786e-05,0.0012852735563918846
424,426,444,440,-3.865890343988094e-05,0.000713740985914831
425,429,445,441,-3.86296079710369e-05,0.0008173641593063103
449,450,458,454,8.606745551130259e-06,0.0005939537405643505
450,451,458,454,6.066035948348481e-06,0.0007758056809047063
451,452,460,456,3.0938691622455683e-06,0.000972048431961899
464,466,482,478,-1.0121590938622461e-05,0.0004331921825476113
465,469,486,482,-1.1274254452223822e-05,0.0006697471095052432
466,471,488,483,-1.1214777936407844e-05,0.0008537889698240177
467,472,490,485,-9.929162463828055e-06,0.0009176462031392745
488,489,500,493,1.730589144456398e-05,0.0007852446726131944
540,541,553,548,3.038593238186e-05,0.004334094202948195
541,542,552,546,1.900827538011088e-05,0.003590216374496649
542,543,556,550,7.671541290322894e-06,0.002872090907558296
543,544,561,554,-2.897182014072105e-07,0.002184405759083873
545,546,572,570,-1.1384903942912892e-05,0.0018989235353171503
549,550,562,558,-8.65422634220336e-06,0.0029839554400381474
550,551,564,560,-7.454866508177975e-07,0.0031234683000592443
551,552,567,563,1.82504200307651e-06,0.0028360294451113474
565,566,585,578,2.7796339039241695e-05,0.0018706210955081724
566,567,585,577,3.237456928357625e-05,0.0018572842165211017
567,568,582,576,3.57522224413571e-05,0.0024424461296983237
568,569,582,576,3.468851330941975e-05,0.002438722280871705
579,580,599,593,-1.9651008393608158e-05,0.0009394988844604836
580,581,586,584,-1.8550328178061275e-05,0.0009476348706042993
581,582,592,588,-1.7620970391008665e-05,0.0011461921078546006
599,606,624,619,-5.3809675093690584e-05,0.0010193602966720213
638,644,658,655,-8.446951168640532e-05,0.0014797483688118404
639,645,661,657,-7.827008417855774e-05,0.0012023052536653735
640,648,667,662,-7.47490683810563e-05,0.0011264707046139161
643,654,674,670,-7.74648310801168e-05,0.0010131674154609228
656,657,674,668,-1.903119457900429e-05,0.0014973588995255778
676,677,685,681,-3.9435363318970284e-05,0.0012970389905650934
677,678,689,684,-3.797818441283861e-05,0.0017263120108595928
690,695,711,707,-5.960526784348373e-05,0.0013904266357462434
691,696,713,709,-5.765402034865381e-05,0.0013742952343853575
701,705,715,713,-2.0398264988177e-05,0.0007738908836909097
702,707,719,716,-2.2813100655515058e-05,0.0011216491567167949
713,714,729,724,-1.6237057383673877e-05,0.0008886742489904248
729,736,752,748,-1.6070676160133523e-05,0.0008870861141119736
739,740,748,745,-0.00011300387715710666,0.0017567171766064479
740,741,747,744,-0.00012277182636167864,0.0015364976529021394
751,752,769,764,-0.00011482155257725064,0.0033429852430470162
755,760,775,772,-9.011064442494941e-05,0.0030664467166175487
782,783,800,794,-2.590681696872323e-05,0.0019204280977173156
783,784,805,798,-2.951832697483235e-05,0.0010176933839807036
801,802,819,813,-1.3292173731895348e-05,0.0006764694681882644
802,803,818,812,-1.287147803771602e-05,0.0009898384829242464
814,815,823,820,-1.029945864861637e-05,0.0010581390230973184
847,853,868,865,9.265804547750967e-06,0.00102797599450643
865,866,878,872,4.52861926506087e-05,0.0012231702817203352
866,867,879,873,5.467852885019205e-05,0.0013469954006399534
867,868,881,875,5.469078128091428e-05,0.0011022478438202402
883,884,892,889,4.683730771309988e-05,0.001966915978614045
884,885,893,890,4.973542893029309e-05,0.001994056343771719
915,916,933,927,2.70874377230828e-05,0.0014465423904580419
916,917,935,929,2.769088162825249e-05,0.0013032540508442407
946,947,955,952,8.918552209256865e-05,0.002611122003055292
947,948,956,953,9.725547803834008e-05,0.00168283476186253
964,965,968,966,-1.8432951668352628e-05,0.0009286349946686659
965,966,969,967,-2.9748321219486937e-05,0.0007943718400611225
1000,1001,1025,1019,2.3226621850722585e-05,0.0011089923746515863
1001,1002,1025,1020,3.169701558960297e-05,0.0010464604928694633
997,1004,1018,1015,-4.8984122600326755e-06,0.0012178242012737034
1034,1040,1055,1051,-9.983195825047748e-07,0.0003257845333117941
1087,1093,1108,1104,-1.6259591594794638e-05,0.000661814150473528
1088,1094,1110,1106,-1.7224661909290097e-05,0.0006789432500680551
1094,1095,1102,1099,-1.6975438088300973e-05,0.0004763555916712801
1089,1095,1111,1107,-1.7399743282429546e-05,0.0005339415558278828
1095,1096,1103,1100,-1.6217831459433714e-05,0.0005357256183865336
1096,1097,1104,1101,-1.661594764239103e-05,0.00048188113983908614
1091,1099,1117,1112,-1.614049467146554e-05,0.0004479205857507582
1105,1106,1121,1116,-2.5812065214270063e-05,0.0004985632653748941
1106,1107,1124,1118,-2.6034789461876322e-05,0.0004325727757023428
1107,1108,1123,1118,-2.547953134651384e-05,0.0004643026859016108
1108,1109,1124,1119,-2.4848856448415415e-05,0.0004400976688004437
1109,1110,1126,1119,-2.5724083171418066e-05,0.0002628659806712891
1114,1118,1133,1129,-2.2314919446986768e-05,0.0003159271766412764
1115,1119,1135,1131,-2.2033264616193063e-05,0.0003039890105126622
1116,1121,1138,1133,-2.143451264168256e-05,0.00038699124150431085
1136,1137,1148,1143,-1.5078659260874258e-05,0.0005546667489663554
1137,1138,1149,1144,-1.9624954991760073e-05,0.0005519535723124235
1151,1160,1183,1176,4.65345839315169e-06,0.0009881589367892046
1154,1165,1191,1183,1.2471608073210402e-05,0.0011746614664902375
1167,1168,1177,1171,-3.46873966046924e-05,0.0011364623685849596
1168,1169,1184,1178,-3.570171000427002e-05,0.0012553602311275096
1169,1170,1185,1179,-4.0372699782649056e-05,0.001088607192260222
1170,1171,1183,1179,-4.3991877463302856e-05,0.001134258362519931
1172,1173,1186,1180,-4.850846274168776e-05,0.0015113872564897777
1183,1186,1203,1199,-3.4063085711411285e-05,0.0005454541148949269
1214,1226,1237,1234,1.4576644046711835e-05,0.0007790443052497579
1244,1245,1256,1252,-1.1701776352545006e-05,0.003156779446820083
1245,1246,1257,1253,-2.0176238365018754e-05,0.0035590178992507666
1246,1247,1257,1252,-3.122093265435549e-05,0.0034491228593685223
1247,1248,1261,1256,-3.534527999232609e-05,0.0041202406739113285
1251,1252,1267,1262,-5.183961706839798e-05,0.003442886018314024
1252,1253,1270,1265,-6.324010465517588e-05,0.002266964258235473
1256,1259,1274,1271,-8.444940190510871e-05,0.0011291695724079283
1257,1259,1275,1271,-7.703039157473372e-05,0.0012085316736632555
1276,1277,1285,1279,3.517684292795801e-05,0.001879457042657913
1318,1319,1334,1329,-6.8975446120812975e-06,0.0013395678385900887
1319,1320,1336,1331,-7.259826302806142e-06,0.0011783876129780897
1320,1321,1340,1334,-7.2567537111511226e-06,0.0009318220903074252
1321,1322,1342,1336,-8.19451618858819e-06,0.0007828254129827513
1322,1323,1346,1339,-3.775952979050241e-06,0.0006671293857114398
1334,1345,1373,1364,8.971030398123005e-06,0.0004667810416883193
1347,1348,1356,1350,-3.086365908035097e-06,0.0008007184406229477
1348,1349,1364,1357,-2.604879577070592e-06,0.0007711609792628157
1349,1350,1363,1358,-7.886873000756627e-07,0.0008217068338553554
1369,1370,1376,1373,-1.968538750641068e-05,0.0007688646948296059
1376,1377,1393,1388,-1.592376152168678e-05,0.001170440583348439
1377,1378,1396,1391,-2.0243968446349314e-05,0.0008414498829495006
1378,1379,1396,1391,-2.148463606739536e-05,0.0008267259900526678
1402,1403,1422,1414,-1.553515116232805e-05,0.0005927558991497422
1403,1404,1424,1416,-1.382795076897737e-05,0.0005580315017848501
1404,1405,1424,1417,-1.2153336879014663e-05,0.0005573536565705064
1413,1419,1435,1431,-7.803973481306202e-06,0.00044151958023402795
1453,1454,1462,1458,-7.595434053145436e-05,0.0006107551803112206
1448,1456,1476,1472,-6.234629720731486e-05,0.00040937272993230673
1449,1458,1479,1473,-6.193764979372711e-05,0.00043076477531561833
