miny,maxy,center,trend,amplitude
237,252,248,1.8363767906508526e-05,0.000852216800582424
251,268,263,-2.556241422066818e-05,0.0012229061573569777
252,269,264,-2.7040103191660063e-05,0.0011216112971571054
253,271,265,-2.5361078133966595e-05,0.0009123569346355014
254,274,267,-2.3550175018151982e-05,0.0008274229184250207
272,285,279,-7.333756874893033e-07,0.0005991008267278163
273,286,280,8.405751720746849e-07,0.0007043809898153954
274,288,282,2.4554317410984e-06,0.0008221204862772719
302,313,308,4.085653327234344e-06,0.000456730221444152
309,325,320,-2.457157595550333e-06,0.0005495404266157087
310,327,322,-1.0219900475594434e-06,0.0006698025672526902
311,328,323,-1.0824928011369092e-06,0.00047765013081872996
332,341,337,-2.195347309505615e-05,0.0005707865903181233
333,343,339,-2.389111055607246e-05,0.0006245917739500397
341,356,351,-3.6812579795932754e-05,0.0009490407408864299
342,358,353,-4.108105155819038e-05,0.0006823619061675587
343,360,355,-4.1645307735317716e-05,0.0006334278407103693
344,365,359,-4.3070328214013794e-05,0.00037387461506612277
353,370,366,-4.502386158006291e-05,0.0009204197645138845
354,371,367,-4.420676836905068e-05,0.0006990450345083099
357,370,366,-3.056072361377107e-05,0.0005681929102997391
357,376,371,-4.348336520444203e-05,0.0008133539937113204
363,379,374,-2.0745048840693715e-05,0.0005376488284584012
364,380,375,-1.596253575809855e-05,0.0007385537136434494
365,381,375,-1.3655927926491104e-05,0.0006890983400068018
366,382,376,-1.241923315611151e-05,0.00072947930750233
367,384,377,-7.778115079798844e-06,0.0007635382826413449
368,386,379,-2.259273492455217e-06,0.0007715688743365467
398,405,401,-6.318022389771463e-05,0.0013692592427974523
400,408,405,-5.2924263583526814e-05,0.0016635508194534862
403,421,416,-7.723024843550836e-05,0.0015375320257364942
404,425,419,-7.192542483017027e-05,0.0013387360230714311
406,419,414,-5.670778367061954e-05,0.0007890436657228549
411,439,431,-5.40720005617412e-05,0.001221423016075866
413,425,419,-6.296579442340644e-05,0.001269573557445525
414,429,422,-5.823056604847629e-05,0.0014919361917658115
415,428,423,-5.159865966402108e-05,0.0017276036814723643
416,429,424,-4.869820533090936e-05,0.0015959536325117782
417,430,425,-4.820563305693465e-05,0.001480171859780527
418,435,427,-4.966484830215517e-05,0.0012435840136739659
431,446,442,-1.2084163261057832e-05,0.0007983554680800715
449,464,459,1.1948659584975466e-05,0.0022805406302919286
451,466,461,2.4661987542336473e-05,0.0017845580213244905
452,471,464,2.316981417467886e-05,0.0010159470464712855
473,483,478,-1.3997326038990968e-05,0.0015696466061630593
474,486,481,-1.673884015102992e-05,0.0018114181741034562
481,497,492,-3.622855599222393e-05,0.0020339346110511474
482,498,493,-3.614049734891029e-05,0.0020685118386049575
483,500,495,-3.9062111273008114e-05,0.0013054840701627564
488,505,501,-2.7594602442931455e-05,0.0008674240358443584
489,503,500,-3.974143484520654e-05,0.0009415841065552635
503,513,509,-3.647344980596493e-05,0.0005738430004191103
504,513,509,-3.7083377521450635e-05,0.0009731914173887304
505,516,511,-3.683893526128488e-05,0.0015665393470636843
506,516,511,-4.046853164930491e-05,0.0017188851240713353
507,518,513,-4.2854385098268236e-05,0.002093908223250953
508,521,516,-4.338607994168376e-05,0.0024806846811582586
512,527,522,-5.415584098378187e-05,0.0020495111981377536
513,528,523,-5.325503146423453e-05,0.0022149277759230318
514,529,524,-5.0156676458441676e-05,0.002053163685417321
515,531,526,-4.963131774595075e-05,0.0016292071103287255
620,637,631,8.298923664068548e-06,0.000830556798871334
621,638,632,9.743841709207627e-06,0.0008066679836732491
622,639,633,1.1338190966135914e-05,0.0007520155896926999
640,648,645,2.0055138053067235e-05,0.0004817007051451194
671,686,681,-2.722133514999671e-05,0.001290526879349833
672,683,680,-3.1641870267379344e-05,0.000777441252575818
672,687,682,-2.5202750372988304e-05,0.0015543228270366643
673,693,687,-2.731936678816051e-05,0.0009774916127643302
674,685,682,-3.298137460708676e-05,0.0007848974311424178
684,692,689,-3.444588168552493e-05,0.002465084000005213
692,712,708,-4.9992530968334836e-05,0.0013332393461802016
694,711,706,-7.576420419785262e-06,0.0019816336025566582
694,722,719,-4.5559832238750823e-05,0.0017554725080952502
720,735,730,5.944809636845074e-05,0.002339715481463576
722,741,735,8.09353201678284e-05,0.0016603531571681483
735,744,741,8.832942387416549e-05,0.0037098270395420703
736,744,740,8.648990443134348e-05,0.003078318695776547
744,764,760,5.824706867835697e-05,0.002117442039810513
748,771,765,-7.034842372143606e-05,0.001978903479705338
749,754,752,-6.571675580218328e-05,0.0026667705109125225
750,756,753,-6.881420133251557e-05,0.0027497156741720613
751,763,758,-5.6109010746586923e-05,0.0042774369345536896
767,781,778,-9.308410663849145e-06,0.0036142624728887577
785,796,790,1.968757394225702e-05,0.0031176049409604527
786,800,794,1.9782247439188088e-05,0.0030226675786834242
787,801,794,1.5894064405165443e-05,0.0025142691233074974
788,803,796,1.0180733565886023e-05,0.002008674178105348
789,805,798,4.504294831023173e-06,0.0014737620877204713
795,812,809,-2.2610305874370444e-05,0.0004717499668705531
810,832,824,-5.119326309053767e-05,0.0010000170351920675
811,828,822,-4.706189023642713e-05,0.0013438211244467843
812,832,824,-4.8417727352987404e-05,0.0011824080107572072
813,833,825,-4.803088844780873e-05,0.0013581792765532358
814,832,825,-4.537937688692945e-05,0.0015255817288411851
815,832,825,-4.604219823142779e-05,0.001371902914667173
937,949,944,-2.88789098955305e-05,0.0006814380589843853
939,956,951,-2.7751440277471564e-05,0.0008479031936498814
940,956,951,-2.6723803148494598e-05,0.001009617963576002
941,957,952,-2.3347742206394463e-05,0.0010822609278822507
965,979,972,2.7641413495063614e-05,0.0008492672967412646
966,972,970,3.2303976707620935e-05,0.0005593397109857196
978,990,987,2.1594216202480737e-05,0.0003866591189379091
981,991,988,2.023378401439897e-06,0.0003919167799135897
982,992,987,6.324094838299278e-06,0.0010370343504096204
983,993,989,6.159563702974882e-06,0.000932326892064951
992,1004,1001,1.4782405311153714e-06,0.0005020948342693433
996,1009,1006,-1.946325683493347e-06,0.001285919399908191
1015,1031,1026,-6.168236891722841e-05,0.0019274165469471845
1016,1039,1032,-5.912184883033191e-05,0.001106235014213509
1017,1043,1036,-5.428842374385132e-05,0.0010228755454780502
1024,1040,1036,-3.097394189534929e-05,0.0014683885873656333
1036,1060,1053,1.1051609546302831e-05,0.0010326404569930554
1039,1051,1046,3.3001164092611784e-05,0.0018937695095350622
1040,1053,1048,4.2907920626358114e-05,0.0022505042482584316
1040,1069,1060,2.67906591364369e-05,0.0005180469139816553
1041,1054,1049,4.742353338270059e-05,0.002133294013058011
1042,1054,1049,5.39730799603792e-05,0.002374969467599173
1043,1056,1051,5.454938712596686e-05,0.0018853633340909233
1047,1062,1057,5.7812409292226984e-05,0.0008548632551338783
1052,1064,1061,5.338408458132678e-05,0.0011227198887328292
1053,1065,1062,5.003642417373972e-05,0.0013377786368286438
1068,1082,1077,3.57582630231101e-05,0.0010496822598186743
1069,1082,1077,3.690131319437441e-05,0.0012615250743102384
1070,1082,1076,3.468424925416044e-05,0.001271350593504254
1070,1082,1079,4.016395898764981e-05,0.0007390066159267443
1071,1083,1077,3.3266655488188044e-05,0.001359089996025052
1073,1079,1074,1.9964484683929216e-05,0.001147109677338678
1074,1085,1078,1.731891417733371e-05,0.001146959796310225
1075,1087,1080,1.3790192769435377e-05,0.001002103429152534
1076,1088,1081,8.818257149801652e-06,0.0008110477509949605
1084,1100,1096,-7.0208694912285544e-06,0.00030039762302819446
1085,1102,1098,-1.036429940683137e-05,0.00038986742377019527
1098,1114,1109,-1.9739631449386216e-05,0.0008874666457321291
1099,1118,1112,-2.0734270330917348e-05,0.0005582164643391386
1108,1123,1119,-1.321684894001582e-05,0.0007549067717113312
1110,1126,1122,-1.022452406633687e-05,0.0008450405738364278
1126,1141,1134,-6.682693140595808e-06,0.0006602025788390574
1127,1143,1138,-3.419420787692154e-06,0.0007989985195071521
1156,1170,1165,1.600836143437011e-05,0.00026020553250996365
1187,1203,1199,2.652533244312135e-06,0.00036699757242823864
1188,1197,1193,1.0599428820855664e-05,0.0004423181272612279
1189,1200,1195,1.1669041784900363e-05,0.0004364300842096981
1190,1201,1196,1.0914543069254718e-05,0.0002578090603090545
1205,1212,1209,-1.25707857783544e-05,0.0005668503221867396
1216,1235,1230,-9.51814700991383e-06,0.00054930971868459
1239,1255,1250,4.886296955683905e-05,0.0014396879415142561
1240,1258,1252,5.412178896674233e-05,0.0011512330472548216
1241,1262,1256,6.296319589418052e-05,0.0011234919978036972
1264,1279,1274,5.926417331719171e-05,0.003139929401334333
1265,1281,1276,5.9431676439588514e-05,0.002730073201059637
1266,1284,1278,5.6152839308472956e-05,0.0019380604184908432
1267,1286,1279,5.919755532161677e-05,0.0016967908850487967
1289,1303,1298,3.875822294694325e-05,0.002592211422149614
1290,1304,1299,4.00450977083036e-05,0.0029496080536316875
1293,1309,1302,3.213661499982093e-05,0.002151151736357779
1294,1310,1303,3.350258946401442e-05,0.0019074493657262755
1295,1312,1305,3.232997267648242e-05,0.0014723283273664492
1313,1340,1332,3.2775673546368924e-05,0.0009600844610164999
1324,1346,1343,5.717145652114594e-06,0.0007489570681091714
1325,1333,1330,7.179180925730339e-06,0.0011474077520935227
1355,1371,1367,-5.711067486640157e-06,0.0009120378234751087
1357,1374,1370,-3.2921193644537506e-06,0.0009087266772819105
1391,1406,1402,6.284448414934341e-06,0.0006224269904731646
1412,1420,1415,2.3997880707657126e-05,0.0008251277903874681
1413,1423,1417,2.2913238647020808e-05,0.0006833465511569001
1414,1425,1418,2.0376609163356323e-05,0.0005028692381294174
1415,1431,1424,1.8076271060289212e-05,0.0003527295838906009
1460,1467,1464,8.345833848283875e-06,0.0002379805733326592
1477,1490,1487,1.1615178685081878e-06,0.000649444056790744
1479,1494,1490,1.3012997257303852e-06,0.0007131282532378339
1489,1514,1507,6.913842372096143e-06,0.0006405572067565465
1492,1519,1511,8.310186786102802e-06,0.0004930363814839254
1530,1557,1549,-1.5984243459299956e-05,0.0002905249361173457
1561,1578,1573,-7.819355233201086e-05,0.0027851919541179945
1562,1583,1577,-8.252603119293944e-05,0.002281458007676809
1563,1585,1579,-7.855006563469143e-05,0.0019824740347638634
1569,1584,1581,-6.794568364688353e-05,0.002357023083747001
1570,1586,1582,-6.164124884788719e-05,0.0024344052928456624
1583,1610,1602,-5.98239095746972e-06,0.0021763983747650605
1584,1611,1603,1.6296081795379084e-06,0.0020436285824492386
1585,1596,1591,1.5033691667161745e-05,0.0031606043495986335
1592,1607,1601,-2.6695444313094127e-05,0.0018098827540047155
1593,1608,1601,-2.645132359531497e-05,0.0012303773092886012
1624,1631,1628,3.52672937150837e-05,0.0015241671174492006
1625,1633,1630,4.1856261406303484e-05,0.0016923183210187627
1632,1647,1643,5.5269409893099384e-05,0.0020951402241326895
1657,1675,1669,6.1030915909681284e-06,0.001788422674181649
1659,1680,1673,9.555932900452104e-07,0.0014432426443458405
1669,1687,1682,4.9083225575201e-05,0.001313775081103643
1684,1692,1687,4.713684199988609e-05,0.0014795736674950663
1685,1693,1688,4.0955523294099943e-05,0.001469067368274077
1758,1774,1770,-2.236485531217506e-05,0.0006725853765378204
1759,1775,1771,-2.3864319389350793e-05,0.0005756299041905611
1760,1775,1772,-2.275432513058002e-05,0.0003362292872623461
1773,1786,1783,2.322217398656652e-05,0.0009476066760874703
1835,1849,1844,-7.618606798108935e-05,0.0024547429590754148
1836,1853,1847,-8.012880827314263e-05,0.0018535862545153029
1837,1856,1850,-8.103702585301973e-05,0.0012729819606870096
1838,1859,1852,-7.84966460491623e-05,0.000960862167249761
1844,1860,1856,-4.897023208227351e-05,0.0013860841927856092
1844,1860,1857,-6.136299782877406e-05,0.001366536848366695
1849,1866,1862,-3.909839402559207e-05,0.002157990413998568
1851,1870,1865,-3.642911560555009e-05,0.002434498571480448
1858,1871,1866,5.094425134090826e-05,0.00181398882036835
1901,1911,1907,-3.87867364978846e-06,0.0008427847264837066
1902,1912,1907,-2.483095033221901e-06,0.0008133953849721984
1903,1913,1909,-3.1740004282229483e-06,0.0010032486511172365
1904,1915,1911,-1.85494669651648e-06,0.0013275449676210744
1905,1916,1912,-2.8075620865634704e-06,0.0013776292331205778
1941,1958,1954,-7.883207992994163e-05,0.0008989421932509243
1967,1989,1983,-2.8052394140378817e-05,0.00043361592347577137
1991,2007,2003,-7.459977471563708e-05,0.00112224438571604
1994,2012,2007,-5.943379187373481e-05,0.0010506724977586018
1995,2013,2008,-5.638651318911844e-05,0.0012538500114511841
1997,2015,2010,-5.305449774711791e-05,0.0011792187203080327
2000,2022,2015,-4.309253987110096e-05,0.0008366825545919437
2003,2026,2019,-3.944866109759819e-05,0.0007450036657111004
2014,2021,2018,-2.4215621106678636e-05,0.0006138819242374876
2033,2048,2045,-8.735673016409557e-06,0.0008187464203767171
2034,2050,2046,-4.1713843282200705e-06,0.0006247025804725248
2035,2053,2048,1.1693896093747232e-06,0.0006043710127821491
2048,2058,2053,3.5674443931186913e-05,0.0006814872848911133
2049,2059,2054,3.824140239224644e-05,0.0008393094170176756
2050,2057,2052,3.523361627841213e-05,0.0007731433932121514
2051,2059,2054,3.339443513270394e-05,0.0008484115587821447
2052,2061,2056,3.227005577560047e-05,0.0008667004196363444
2062,2071,2067,5.489968224696333e-06,0.0003307338184991917
2067,2080,2076,7.465786503681714e-06,0.0004701925710452371
2073,2091,2085,2.6695689928349784e-06,0.00035179261664312564
2075,2092,2087,3.026372454787707e-07,0.0004937361385574221
2079,2096,2092,-4.199040355458266e-06,0.0005847806271047835
2080,2097,2093,-3.193644500273248e-06,0.0005294904488314323
2090,2096,2093,-0.00023476530459175046,0.0028700034586181993
2091,2098,2095,-0.0002403852098985509,0.0029933831481673344
2109,2124,2121,-0.00018480641235114008,0.003828745523355471
2111,2127,2123,-0.0001695310016017701,0.004403819862265709
2118,2124,2121,-8.772775246850222e-06,0.0024460975570809998
2120,2125,2122,6.989067402919194e-06,0.0024046420543017907
2121,2127,2123,1.0917499314066275e-05,0.0032066922311503963
2123,2147,2140,-5.081560278552922e-05,0.0034425547434217786
2130,2143,2137,-1.3459543479719025e-05,0.005477204566523041
2131,2144,2139,-3.252587878732248e-06,0.005482236131842979
2132,2146,2141,-1.3958756234509485e-06,0.00445881363259651
2136,2149,2145,7.176810752184143e-06,0.0013281745586747789
2137,2158,2153,8.028809044859117e-06,0.001534165974733883
2140,2159,2155,6.0286449749138605e-06,0.0017379180942819479
2145,2163,2158,1.2738401619356648e-05,0.0033763796853759336
2157,2168,2166,5.1600243617111483e-05,0.0014560366671317504
2158,2187,2179,4.45955244603207e-05,0.002365680913596535
2164,2186,2180,-1.1251948621747668e-05,0.0016553226625159517
2165,2179,2175,-6.025618304999274e-06,0.0016929738743743702
2166,2178,2172,-2.0998721628535145e-06,0.0020247804171496637
2197,2226,2223,-0.0001352577925153351,0.0013484910792738308
2205,2220,2217,-6.675613781676436e-05,0.0019936989370318626
2207,2223,2219,-5.491660370057711e-05,0.002151998660306401
2226,2247,2240,-0.0001038873321798757,0.0013487674564985716
2228,2261,2255,-0.00010832020615731597,0.0017867066678936277
2238,2258,2252,-0.00011033561613589811,0.002088392591245851
2245,2263,2257,-2.16525570185279e-05,0.0015424667336513412
2268,2280,2276,4.8352101213448146e-05,0.0008445021941319007
2269,2280,2274,5.414257444419836e-05,0.0015594554344236953
2270,2281,2276,5.567043640426316e-05,0.0014062502818962873
2282,2290,2287,-6.903675594410825e-05,0.002778048154205204
2283,2291,2287,-6.605116803232682e-05,0.0033208152004745952
2284,2293,2289,-7.00927694095107e-05,0.00375042167737681
2300,2315,2312,-3.618513712289951e-05,0.003006358547266404
2302,2317,2313,-3.173756326448357e-05,0.0034989238748029095
2313,2319,2315,3.900056934932259e-05,0.002307632776416139
2314,2322,2318,3.6052255137376436e-05,0.0027909925176799414
2315,2323,2318,3.105507285957353e-05,0.0032239095013820653
2316,2324,2319,2.4238735883113523e-05,0.0035308207673311566
2318,2329,2324,4.938236943715842e-06,0.003963340846271421
2319,2329,2324,-1.294437111942047e-06,0.003957678044356647
2323,2330,2326,-4.7630489574105834e-05,0.002017225096752918
2325,2341,2336,-6.564384638677818e-05,0.001264741019716014
2354,2372,2364,5.908549641381028e-06,0.0010646242873160777
2355,2366,2358,9.420411669953292e-06,0.000811936349567083
2356,2367,2361,1.1869991396970942e-05,0.0008294242220296257
