miny,maxy,center,trend,amplitude
229,236,233,1.3250381646910044e-05,0.001121757377583851
230,239,235,1.0748624812273998e-05,0.0014703450601415025
267,276,270,-8.972844801927838e-06,0.0008857021960169459
269,289,281,-8.977436397009394e-06,0.000596006640835429
287,313,305,4.287601914417055e-06,0.0005570957282918699
291,311,303,1.3651730287625757e-05,0.0005848596795356204
292,311,304,1.2297438252286289e-05,0.0006609280277290514
293,310,304,1.0958649500497487e-05,0.0007039592686280011
294,311,305,9.796501557832426e-06,0.0006897608792708081
295,311,306,5.70769771414959e-06,0.0009010671164570794
296,312,307,4.424933820283957e-06,0.0007031917253364735
297,314,308,4.393310358731481e-06,0.0005654584467746405
298,315,309,4.339506356419773e-06,0.00040314940932404124
299,318,312,3.633635890923095e-06,0.0003216844979030901
326,341,336,-2.2047218984208943e-06,0.0006963864372337485
336,351,347,-2.195347309505615e-05,0.0007646625938921625
337,353,349,-2.389111055607246e-05,0.0007382055783829999
347,353,349,-4.22120236094676e-05,0.00037989376455546686
348,359,354,-4.502386158006291e-05,0.000864788542930255
353,358,354,-3.964979352753521e-05,0.0009192661097920609
379,396,391,-5.9844426528174994e-05,0.0007871063332435437
392,399,396,-7.284645672000711e-05,0.001368886704436126
401,409,404,-5.40720005617412e-05,0.0016887211526338641
402,412,407,-5.694262387635714e-05,0.0015803284696049716
403,413,407,-5.9608011350991445e-05,0.0014052342947455502
416,433,430,-5.670778367061954e-05,0.0005219599722759978
423,441,436,-4.966484830215517e-05,0.0009569851638904139
433,448,443,-4.616342783929414e-06,0.001765909347148169
434,450,445,4.936998993662294e-06,0.0011754879042589624
435,451,446,1.0559916062032272e-05,0.0011566147260728228
455,463,459,2.473233333848911e-05,0.0009009165106982459
456,465,461,2.5073962902359588e-05,0.0012832665443531133
457,468,463,2.4392983796079428e-05,0.0017493121517439952
462,477,472,3.783602418264059e-05,0.0024695625575967533
462,483,477,2.316981417467886e-05,0.0007953533669056407
463,478,473,3.292919536515698e-05,0.002748893004135041
464,479,474,2.8746561866260148e-05,0.002543686964917047
465,479,474,2.855703528921308e-05,0.0018350370766495978
466,482,477,2.591556835122491e-05,0.0016616633591699998
467,484,479,2.3092824959975896e-05,0.001348834857229119
468,484,479,1.5208801399362072e-05,0.0013692427389315137
472,488,484,-1.457914669177286e-05,0.0008883031272785358
486,494,490,-3.974143484520654e-05,0.0005626551872339965
487,492,489,-3.5438377785750425e-05,0.0006034683279458778
497,511,506,-2.557669969596523e-05,0.002111986666351829
498,512,507,-2.2821538101452587e-05,0.0016207864186876845
505,521,516,-3.647344980596493e-05,0.0006201387388547004
507,524,520,-3.7083377521450635e-05,0.0009269536258393816
517,525,522,-5.648849011317995e-05,0.000989704295407613
524,531,527,-7.060396184543425e-05,0.0018084233629837012
540,552,548,-3.599263965577666e-05,0.0017596243276874833
544,554,551,-3.302851695466101e-05,0.0013862970067914317
597,612,608,-2.1214254842847338e-06,0.0008969435398703361
633,647,642,1.867325903176703e-05,0.0009218734482770342
634,649,643,1.9227629892022145e-05,0.0008478490761877216
635,651,645,1.947193533364443e-05,0.0007856565447283998
636,653,647,1.8121093906057675e-05,0.0007831141651758422
637,658,650,1.798142671116785e-05,0.0005679329547953311
657,682,675,1.6151733935204524e-05,0.0004552045152823344
661,680,674,-3.1641870267379344e-05,0.000656589307797871
675,683,680,-3.5721599283172185e-05,0.0016325283631673806
682,698,693,-4.9992530968334836e-05,0.0017252397865416863
704,720,715,-4.784718824043646e-06,0.002125646296453895
705,721,716,-3.2453734258749837e-06,0.0019471465101358642
723,731,727,7.507083320520455e-05,0.0013916585795856575
733,751,746,5.824706867835697e-05,0.002266257896697615
741,748,745,1.8430375522908394e-05,0.002653295949400324
743,759,755,7.239052189738377e-05,0.0024032800773761973
746,758,754,-6.781303376073837e-05,0.0034486909127264807
747,761,757,-7.509082629916844e-05,0.002372949996442393
752,762,760,-7.034842372143606e-05,0.0022808724943304682
753,765,762,-6.571675580218328e-05,0.003187671861209506
755,767,764,-6.881420133251557e-05,0.003344881983923184
762,767,764,-9.308410663849145e-06,0.002922449433024849
772,788,782,5.924923112459061e-05,0.002725089146375926
773,790,785,6.487758242006232e-05,0.0024407989232122325
774,793,787,6.330935195464483e-05,0.0020122289645270338
777,791,788,6.219512263931916e-05,0.0016025398465615846
794,802,796,-3.0509008808692174e-05,0.0015355176892721822
795,804,797,-3.4833934896142296e-05,0.0018636990197795815
830,850,843,-5.284730845675273e-05,0.000731030785293905
855,873,867,-9.486198456550894e-06,0.0005126360004824246
955,964,958,-1.8466516149467288e-06,0.000533793157924452
971,983,980,3.2303976707620935e-05,0.0006611681567833919
972,983,979,2.1194312488994147e-05,0.00032974684150330005
973,981,978,2.1594216202480737e-05,0.0003631841918221744
974,985,981,1.9088378334210824e-05,0.000540968256431647
991,998,995,-1.946325683493347e-06,0.0009812896897410087
998,1013,1008,-4.2531847801112046e-05,0.001239120461402358
1019,1027,1023,-5.5101431529829306e-05,0.0016655545241086147
1020,1029,1025,-5.099783227972141e-05,0.0018242145753594803
1021,1030,1026,-4.490579199126259e-05,0.002032275995514735
1024,1036,1031,-1.753830217260793e-05,0.0025680619684400534
1026,1039,1034,-7.391825099817734e-06,0.002467282250600263
1031,1055,1047,3.128930528067892e-05,0.0007423796547239726
1049,1055,1052,5.003642417373972e-05,0.001044422301252259
1050,1062,1056,4.815761612753214e-05,0.0010875311363067817
1051,1064,1058,4.9096019733502944e-05,0.0011026477120354718
1052,1065,1059,4.914705034989005e-05,0.0014728525577898056
1053,1065,1060,4.9308507570121624e-05,0.001738884124651183
1057,1074,1068,6.645092517136949e-05,0.0016618802839960404
1057,1077,1072,5.7812409292226984e-05,0.0008156627636857871
1058,1075,1069,6.300374954470906e-05,0.00171131903680089
1059,1077,1071,6.252362873720928e-05,0.001535886274965407
1060,1077,1072,6.049920775461914e-05,0.001483021436650051
1061,1078,1073,5.4844031639102266e-05,0.0013407725860592194
1062,1082,1076,5.279488370583282e-05,0.0008080197249628032
1063,1083,1076,4.827701903639975e-05,0.000680564521613499
1065,1073,1070,4.016395898764981e-05,0.0006878028757225583
1066,1075,1072,3.381782438383205e-05,0.0008739295471748065
1078,1097,1092,1.731891417733371e-05,0.0007769215771699387
1079,1089,1086,-4.2944944502034905e-06,0.0004081528333501844
1079,1098,1093,1.3790192769435377e-05,0.0006493349576554661
1080,1090,1086,-7.0208694912285544e-06,0.00028821830991932563
1080,1103,1096,8.818257149801652e-06,0.000450094696190148
1081,1097,1090,-1.036429940683137e-05,0.0003853270402911961
1082,1094,1089,-1.6077869309837167e-05,0.0007231891547219734
1084,1099,1094,-2.4711698051689105e-05,0.0008938331969007745
1085,1104,1097,-2.3215133094885814e-05,0.0007105331739588328
1086,1104,1097,-2.5483445083882524e-05,0.0007662270943165
1087,1105,1099,-3.0442729893782568e-05,0.0008804991897701211
1088,1105,1099,-3.616985456551476e-05,0.000992621722705393
1089,1108,1101,-3.9248430535148386e-05,0.0007621376377892451
1111,1128,1123,-2.9360981947713274e-06,0.0007526341331641975
1112,1130,1124,-7.613326111394583e-07,0.0006299648046651203
1133,1148,1142,-1.0196145631456334e-05,0.0005267505387840969
1160,1175,1171,1.600836143437011e-05,0.0003462810791044626
1175,1192,1186,1.1875532769464361e-05,0.00027378642962228614
1177,1192,1187,7.109883129299378e-06,0.00037787665352640934
1178,1191,1187,4.8595689874944126e-06,0.00036360084050315644
1179,1192,1188,4.383732895205706e-06,0.0003444622273930576
1181,1194,1188,2.0830085199714743e-06,0.0003496958817921526
1194,1200,1197,6.033125133705798e-06,0.0004177304269412331
1194,1209,1205,1.1669041784900363e-05,0.000596513610032233
1195,1204,1200,2.566423735722495e-06,0.0006207120901326703
1196,1212,1209,1.0914543069254718e-05,0.00034882087178295237
1199,1217,1215,9.414506275291651e-06,0.00019354162172516425
1204,1214,1212,8.28379550296798e-06,0.0003612317023688741
1205,1215,1213,7.605898626644249e-06,0.0004656309313222266
1228,1245,1239,-1.1634042900122212e-05,0.0007770788171048818
1229,1247,1241,-1.0632809131101146e-05,0.0006355310760786016
1252,1267,1262,5.650177307596351e-05,0.0026180110304128493
