miny,maxy,center,trend,amplitude
2018.08.01 19:05:00,2018.08.01 19:40:00,2018.08.01 19:25:00,1.3250381646910045e-05,0.001121757377583851
2018.08.01 19:10:00,2018.08.01 19:55:00,2018.08.01 19:35:00,1.0748624812273998e-05,0.0014703450601415025
2018.08.01 22:15:00,2018.08.01 23:00:00,2018.08.01 22:30:00,-8.972844801927838e-06,0.0008857021960169459
2018.08.01 22:25:00,2018.08.02 00:05:00,2018.08.01 23:25:00,-8.977436397009394e-06,0.000596006640835429
2018.08.01 23:55:00,2018.08.02 02:05:00,2018.08.02 01:25:00,4.287601914417055e-06,0.0005570957282918699
2018.08.02 00:15:00,2018.08.02 01:55:00,2018.08.02 01:15:00,1.3651730287625755e-05,0.0005848596795356204
2018.08.02 00:20:00,2018.08.02 01:55:00,2018.08.02 01:20:00,1.2297438252286287e-05,0.0006609280277290513
2018.08.02 00:25:00,2018.08.02 01:50:00,2018.08.02 01:20:00,1.0958649500497487e-05,0.0007039592686280011
2018.08.02 00:30:00,2018.08.02 01:55:00,2018.08.02 01:25:00,9.796501557832426e-06,0.0006897608792708081
2018.08.02 00:35:00,2018.08.02 01:55:00,2018.08.02 01:30:00,5.707697714149591e-06,0.0009010671164570793
2018.08.02 00:40:00,2018.08.02 02:00:00,2018.08.02 01:35:00,4.424933820283957e-06,0.0007031917253364735
2018.08.02 00:45:00,2018.08.02 02:10:00,2018.08.02 01:40:00,4.393310358731481e-06,0.0005654584467746405
2018.08.02 00:50:00,2018.08.02 02:15:00,2018.08.02 01:45:00,4.339506356419773e-06,0.00040314940932404124
2018.08.02 00:55:00,2018.08.02 02:30:00,2018.08.02 02:00:00,3.633635890923095e-06,0.00032168449790309015
2018.08.02 03:10:00,2018.08.02 04:25:00,2018.08.02 04:00:00,-2.2047218984208943e-06,0.0006963864372337486
2018.08.02 04:00:00,2018.08.02 05:15:00,2018.08.02 04:55:00,-2.195347309505615e-05,0.0007646625938921625
2018.08.02 04:05:00,2018.08.02 05:25:00,2018.08.02 05:05:00,-2.389111055607246e-05,0.0007382055783829999
2018.08.02 04:55:00,2018.08.02 05:25:00,2018.08.02 05:05:00,-4.22120236094676e-05,0.0003798937645554669
2018.08.02 05:00:00,2018.08.02 05:55:00,2018.08.02 05:30:00,-4.502386158006291e-05,0.000864788542930255
2018.08.02 05:25:00,2018.08.02 05:50:00,2018.08.02 05:30:00,-3.964979352753521e-05,0.0009192661097920607
2018.08.02 07:35:00,2018.08.02 09:00:00,2018.08.02 08:35:00,-5.984442652817499e-05,0.0007871063332435437
2018.08.02 08:40:00,2018.08.02 09:15:00,2018.08.02 09:00:00,-7.284645672000711e-05,0.001368886704436126
2018.08.02 09:25:00,2018.08.02 10:05:00,2018.08.02 09:40:00,-5.4072000561741205e-05,0.0016887211526338641
2018.08.02 09:30:00,2018.08.02 10:20:00,2018.08.02 09:55:00,-5.694262387635714e-05,0.0015803284696049714
2018.08.02 09:35:00,2018.08.02 10:25:00,2018.08.02 09:55:00,-5.960801135099145e-05,0.0014052342947455502
2018.08.02 10:40:00,2018.08.02 12:05:00,2018.08.02 11:50:00,-5.6707783670619545e-05,0.0005219599722759979
2018.08.02 11:15:00,2018.08.02 12:45:00,2018.08.02 12:20:00,-4.966484830215517e-05,0.0009569851638904141
2018.08.02 12:05:00,2018.08.02 13:20:00,2018.08.02 12:55:00,-4.616342783929414e-06,0.0017659093471481691
2018.08.02 12:10:00,2018.08.02 13:30:00,2018.08.02 13:05:00,4.936998993662294e-06,0.0011754879042589624
2018.08.02 12:15:00,2018.08.02 13:35:00,2018.08.02 13:10:00,1.0559916062032272e-05,0.0011566147260728226
2018.08.02 13:55:00,2018.08.02 14:35:00,2018.08.02 14:15:00,2.473233333848911e-05,0.000900916510698246
