miny,maxy,center,trend,amplitude
241,256,253,-2.245797290246307e-05,0.0007221716642294267
242,257,254,-2.2065092613852053e-05,0.00042459637426108015
246,268,263,-2.07696553020923e-05,0.0003034192398582695
247,261,257,-1.6462651839292692e-05,0.0006710459106852577
264,284,277,-2.7115026835692865e-06,0.00026915837472609735
288,295,292,-4.764667216160578e-05,0.0007728660176834826
321,327,323,3.1359891620782525e-05,0.0016261819526891801
323,351,343,1.4373985363911699e-05,0.0010934673536300437
323,351,343,1.642630727002245e-05,0.0008678341788648547
330,337,334,1.978461158773076e-05,0.0008657103451741012
361,371,366,-2.1811003844687462e-06,0.001709567974858555
362,374,369,-1.0266945167736279e-06,0.00201158839360831
363,376,371,1.447044566792555e-06,0.0022239898813844936
364,377,372,1.152875295747043e-06,0.002141833559395508
376,389,386,3.396925825753573e-05,0.0019580110888447336
378,393,389,2.9809222131797885e-05,0.002633774389687438
385,391,388,-9.333378692935664e-06,0.0025065989676026227
386,393,390,-1.7888265120089645e-05,0.0019522783258342268
387,393,390,-3.3938110136925925e-05,0.001717183067021988
394,409,404,-5.883251174521117e-05,0.0048560879710905815
395,410,405,-6.04939993968191e-05,0.004578059658048798
396,412,407,-6.18577721627756e-05,0.0039885207460577015
397,414,408,-6.37049643723768e-05,0.0031050586999833148
398,417,410,-6.439669576915099e-05,0.002245044175053313
417,423,418,-1.2965335274394108e-05,0.0011372384990418433
418,425,420,-1.564523889096768e-05,0.0015495614964329172
420,430,424,-1.9993425741312704e-05,0.002494179848127502
421,433,428,-1.7515227929913297e-05,0.003089243369413276
422,436,430,-1.8209725444248236e-05,0.0033593899875243396
423,436,431,-1.6252777840576332e-05,0.0037294525823165017
424,438,433,-1.4065974340339411e-05,0.003779066492502138
425,439,434,-9.891056556431929e-06,0.003958292985456531
426,442,437,-8.555490049949947e-06,0.003655599808599388
427,443,438,-2.999450167823471e-06,0.0037179949861690033
428,444,439,-5.636652892940683e-06,0.002637358354751865
429,445,440,-8.069307943668795e-06,0.0019461628865034635
437,451,448,-1.4361898561999303e-05,0.001167406294305098
448,455,452,9.1030758929724e-05,0.0013544310500374806
449,454,452,9.791907912512606e-05,0.0012709431712582988
451,464,458,0.00011102808767534746,0.002237931020790665
452,466,460,0.00011602146186441262,0.002282864949569733
453,464,458,0.00010598274553993498,0.001698154041097651
454,462,456,9.637815654214149e-05,0.0016982733702592663
458,478,474,7.304887365267036e-05,0.0007014075416676703
500,510,505,-0.00010889176258987739,0.0018631840277757784
501,512,507,-0.0001052955063816662,0.00208545990219306
502,514,509,-0.00010219954917737967,0.002924880854017408
511,528,523,-8.467459342980619e-05,0.0023454881561669532
519,535,531,-5.87008758390019e-05,0.0016138859238989543
521,538,534,-5.0939769160204415e-05,0.0018683144466408732
529,536,533,1.3939897455609587e-07,0.0011776712124975737
530,539,535,4.308667602566079e-06,0.0016656477465930085
531,542,538,7.894130795588908e-06,0.0022385948541878784
538,553,547,1.2843779470110694e-05,0.003193469873854766
539,554,548,1.269901854195636e-05,0.002752620300062818
540,557,551,1.2813657085343951e-05,0.0021942381028231387
541,560,553,1.7157242561383375e-05,0.0018287351238079773
561,588,579,1.1967775410961523e-05,0.0017167136205518917
562,576,571,2.7102385713124982e-05,0.002077755846994924
563,579,574,3.281598106513713e-05,0.002451980545001232
564,581,575,3.37675091660899e-05,0.0020719676901719765
565,582,576,3.266569625054251e-05,0.0018776985165137748
566,585,578,3.759854257035165e-05,0.001886124245373631
591,601,595,-1.0651164715447846e-05,0.0010843132597475468
592,604,598,-1.4369147720545322e-05,0.0010629789146129741
593,606,599,-1.9395708905400083e-05,0.0009334815244345773
595,611,604,-2.6949645042510385e-05,0.0008649402752277251
596,612,606,-3.0200398500009492e-05,0.0006983380279594513
607,625,620,-5.4248360593979216e-05,0.00046762307327821365
629,644,641,1.4803013377202678e-05,0.0006772518711864198
640,645,642,4.5229180917628043e-05,0.0005880770129265845
642,648,644,4.052315935376041e-05,0.0008183373636909486
643,651,647,4.121582028165408e-05,0.0009961582511076143
658,672,668,4.544467182471796e-05,0.00044303525942080563
660,676,672,4.2663196143698175e-05,0.0008331251722109422
675,691,686,6.850053668559123e-05,0.0024350094990832167
676,693,688,6.588833426252375e-05,0.0017793279497185113
697,706,702,4.348017613760042e-05,0.001590787411405578
698,706,702,3.742365977515264e-05,0.0016787742296978945
699,708,703,2.8808718112410505e-05,0.0019212824459657316
700,710,705,2.1774107427023737e-05,0.0021801831532076267
701,711,706,1.6518481756152278e-05,0.0023570433596321865
702,713,708,9.606929862634588e-06,0.0023040663669981103
704,718,713,-5.488989727864654e-06,0.00230166641767261
