miny,maxy,center,trend,amplitude
2018.09.17 20:05:00,2018.09.17 21:20:00,2018.09.17 21:05:00,-2.2457972902463072e-05,0.0007221716642294267
2018.09.17 20:10:00,2018.09.17 21:25:00,2018.09.17 21:10:00,-2.2065092613852053e-05,0.0004245963742610802
2018.09.17 20:30:00,2018.09.17 22:20:00,2018.09.17 21:55:00,-2.07696553020923e-05,0.0003034192398582695
2018.09.17 20:35:00,2018.09.17 21:45:00,2018.09.17 21:25:00,-1.6462651839292692e-05,0.0006710459106852577
2018.09.17 22:00:00,2018.09.17 23:40:00,2018.09.17 23:05:00,-2.7115026835692865e-06,0.0002691583747260973
2018.09.18 00:00:00,2018.09.18 00:35:00,2018.09.18 00:20:00,-4.764667216160578e-05,0.0007728660176834826
2018.09.18 02:45:00,2018.09.18 03:15:00,2018.09.18 02:55:00,3.1359891620782525e-05,0.0016261819526891801
2018.09.18 02:55:00,2018.09.18 05:15:00,2018.09.18 04:35:00,1.43739853639117e-05,0.0010934673536300435
2018.09.18 02:55:00,2018.09.18 05:15:00,2018.09.18 04:35:00,1.642630727002245e-05,0.0008678341788648548
2018.09.18 03:30:00,2018.09.18 04:05:00,2018.09.18 03:50:00,1.9784611587730758e-05,0.0008657103451741012
2018.09.18 06:05:00,2018.09.18 06:55:00,2018.09.18 06:30:00,-2.1811003844687462e-06,0.0017095679748585552
2018.09.18 06:10:00,2018.09.18 07:10:00,2018.09.18 06:45:00,-1.026694516773628e-06,0.0020115883936083104
2018.09.18 06:15:00,2018.09.18 07:20:00,2018.09.18 06:55:00,1.4470445667925551e-06,0.002223989881384493
2018.09.18 06:20:00,2018.09.18 07:25:00,2018.09.18 07:00:00,1.1528752957470431e-06,0.002141833559395508
2018.09.18 07:20:00,2018.09.18 08:25:00,2018.09.18 08:10:00,3.396925825753573e-05,0.0019580110888447336
2018.09.18 07:30:00,2018.09.18 08:45:00,2018.09.18 08:25:00,2.9809222131797882e-05,0.002633774389687438
2018.09.18 08:05:00,2018.09.18 08:35:00,2018.09.18 08:20:00,-9.333378692935664e-06,0.002506598967602623
2018.09.18 08:10:00,2018.09.18 08:45:00,2018.09.18 08:30:00,-1.7888265120089645e-05,0.0019522783258342266
2018.09.18 08:15:00,2018.09.18 08:45:00,2018.09.18 08:30:00,-3.3938110136925925e-05,0.0017171830670219882
