miny,maxy,center,trend,amplitude
1537203900,1537208400,1537207500,-2.2457972902463072e-05,0.0007221716642294267
1537204200,1537208700,1537207800,-2.2065092613852053e-05,0.0004245963742610802
1537205400,1537212000,1537210500,-2.07696553020923e-05,0.0003034192398582695
1537205700,1537209900,1537208700,-1.6462651839292692e-05,0.0006710459106852577
1537210800,1537216800,1537214700,-2.7115026835692865e-06,0.0002691583747260973
1537218000,1537220100,1537219200,-4.764667216160578e-05,0.0007728660176834826
1537227900,1537229700,1537228500,3.1359891620782525e-05,0.0016261819526891801
1537228500,1537236900,1537234500,1.43739853639117e-05,0.0010934673536300435
1537228500,1537236900,1537234500,1.642630727002245e-05,0.0008678341788648548
1537230600,1537232700,1537231800,1.9784611587730758e-05,0.0008657103451741012
1537239900,1537242900,1537241400,-2.1811003844687462e-06,0.0017095679748585552
1537240200,1537243800,1537242300,-1.026694516773628e-06,0.0020115883936083104
1537240500,1537244400,1537242900,1.4470445667925551e-06,0.002223989881384493
1537240800,1537244700,1537243200,1.1528752957470431e-06,0.002141833559395508
1537244400,1537248300,1537247400,3.396925825753573e-05,0.0019580110888447336
1537245000,1537249500,1537248300,2.9809222131797882e-05,0.002633774389687438
1537247100,1537248900,1537248000,-9.333378692935664e-06,0.002506598967602623
1537247400,1537249500,1537248600,-1.7888265120089645e-05,0.0019522783258342266
1537247700,1537249500,1537248600,-3.3938110136925925e-05,0.0017171830670219882
1537249800,1537254300,1537252800,-5.883251174521117e-05,0.004856087971090582
1537250100,1537254600,1537253100,-6.0493999396819104e-05,0.0045780596580487975
1537250400,1537255200,1537253700,-6.18577721627756e-05,0.0039885207460577015
1537250700,1537255800,1537254000,-6.37049643723768e-05,0.0031050586999833148
1537251000,1537256700,1537254600,-6.439669576915099e-05,0.002245044175053313
1537256700,1537258500,1537257000,-1.2965335274394108e-05,0.001137238499041843
1537257000,1537259100,1537257600,-1.564523889096768e-05,0.0015495614964329172
1537257600,1537260600,1537258800,-1.9993425741312704e-05,0.002494179848127502
1537257900,1537261500,1537260000,-1.7515227929913297e-05,0.003089243369413276
1537258200,1537262400,1537260600,-1.820972544424824e-05,0.00335938998752434
1537258500,1537262400,1537260900,-1.6252777840576332e-05,0.0037294525823165017
1537258800,1537263000,1537261500,-1.4065974340339413e-05,0.0037790664925021382
1537259100,1537263300,1537261800,-9.891056556431927e-06,0.003958292985456531
1537259400,1537264200,1537262700,-8.555490049949949e-06,0.0036555998085993882
1537259700,1537264500,1537263000,-2.999450167823471e-06,0.0037179949861690033
1537260000,1537264800,1537263300,-5.636652892940682e-06,0.002637358354751865
1537260300,1537265100,1537263600,-8.069307943668795e-06,0.0019461628865034637
1537262700,1537266900,1537266000,-1.4361898561999305e-05,0.001167406294305098
1537266000,1537268100,1537267200,9.1030758929724e-05,0.0013544310500374806
1537266300,1537267800,1537267200,9.791907912512606e-05,0.0012709431712582988
1537266900,1537270800,1537269000,0.00011102808767534746,0.002237931020790665
1537267200,1537271400,1537269600,0.00011602146186441262,0.0022828649495697326
1537267500,1537270800,1537269000,0.00010598274553993498,0.001698154041097651
1537267800,1537270200,1537268400,9.637815654214148e-05,0.0016982733702592663
1537269000,1537275000,1537273800,7.304887365267036e-05,0.0007014075416676702
1537281600,1537284600,1537283100,-0.0001088917625898774,0.0018631840277757786
1537281900,1537285200,1537283700,-0.0001052955063816662,0.0020854599021930603
1537282200,1537285800,1537284300,-0.00010219954917737968,0.002924880854017408
1537284900,1537290000,1537288500,-8.467459342980619e-05,0.0023454881561669532
1537287300,1537292100,1537290900,-5.870087583900191e-05,0.0016138859238989545
1537287900,1537293000,1537291800,-5.093976916020442e-05,0.0018683144466408725
1537290300,1537292400,1537291500,1.393989745560959e-07,0.0011776712124975735
1537290600,1537293300,1537292100,4.308667602566079e-06,0.0016656477465930087
1537290900,1537294200,1537293000,7.894130795588908e-06,0.0022385948541878784
1537293000,1537297500,1537295700,1.2843779470110695e-05,0.003193469873854766
1537293300,1537297800,1537296000,1.269901854195636e-05,0.002752620300062818
1537293600,1537298700,1537296900,1.2813657085343953e-05,0.0021942381028231387
1537293900,1537299600,1537297500,1.7157242561383375e-05,0.0018287351238079773
1537299900,1537308000,1537305300,1.1967775410961525e-05,0.0017167136205518915
1537300200,1537304400,1537302900,2.7102385713124986e-05,0.002077755846994924
1537300500,1537305300,1537303800,3.2815981065137125e-05,0.002451980545001232
1537300800,1537305900,1537304100,3.3767509166089896e-05,0.0020719676901719765
1537301100,1537306200,1537304400,3.266569625054251e-05,0.0018776985165137746
1537301400,1537307100,1537305000,3.7598542570351645e-05,0.0018861242453736308
1537308900,1537311900,1537310100,-1.0651164715447846e-05,0.0010843132597475468
1537309200,1537312800,1537311000,-1.4369147720545322e-05,0.0010629789146129741
1537309500,1537313400,1537311300,-1.9395708905400087e-05,0.0009334815244345774
1537310100,1537314900,1537312800,-2.6949645042510385e-05,0.0008649402752277251
1537310400,1537315200,1537313400,-3.0200398500009492e-05,0.0006983380279594512
1537313700,1537319100,1537317600,-5.4248360593979216e-05,0.00046762307327821365
1537320300,1537324800,1537323900,1.4803013377202676e-05,0.0006772518711864197
1537323600,1537325100,1537324200,4.522918091762804e-05,0.0005880770129265845
1537324200,1537326000,1537324800,4.052315935376041e-05,0.0008183373636909486
1537324500,1537326900,1537325700,4.1215820281654075e-05,0.0009961582511076145
1537329000,1537333200,1537332000,4.544467182471796e-05,0.0004430352594208056
1537329600,1537334400,1537333200,4.2663196143698175e-05,0.0008331251722109423
1537334100,1537338900,1537337400,6.850053668559123e-05,0.002435009499083217
1537334400,1537339500,1537338000,6.588833426252375e-05,0.0017793279497185113
1537340700,1537343400,1537342200,4.348017613760042e-05,0.001590787411405578
