miny,maxy,center,trend,amplitude
231,239,235,-1.3227379596605158e-05,0.0007303403186902165
235,243,240,-1.9233705319277474e-05,0.0006063910943443331
236,244,241,-2.245797290246307e-05,0.0006011168415965284
302,309,306,-3.194871539245169e-05,0.0012514862917431542
310,315,311,1.8534319980535324e-06,0.0017990023495511667
313,330,324,1.642630727002245e-05,0.0012637671763815607
325,337,333,1.964944077274601e-05,0.0015493925667807945
326,343,338,2.0693239230010642e-05,0.001041538342133034
335,348,345,1.978461158773076e-05,0.00104034320751001
339,345,343,5.545171323195763e-05,0.001452645126880543
340,354,347,5.283953242733927e-05,0.0016902520340065458
373,385,379,2.9809222131797885e-05,0.00176208201801222
374,386,380,2.8760937817559117e-05,0.0023300252211619064
383,402,397,-1.0168959664137389e-05,0.0025263126904079506
391,405,402,-3.3938110136925925e-05,0.0019517467099465305
408,420,415,-2.723848627737638e-05,0.004150405723304996
409,421,415,-2.423589618461662e-05,0.004017149577866159
410,425,419,-1.9586217262928082e-05,0.003645277285847606
411,426,420,-2.0184559839302787e-05,0.0036425601381283265
412,427,421,-1.7409866630926702e-05,0.002976338932218959
413,430,424,-1.5453417430424383e-05,0.0024925581529830136
414,430,425,-1.616254563109582e-05,0.0019701529918287343
415,432,427,-1.7703381227796926e-05,0.0012231203626689537
418,434,431,-1.294003250372706e-05,0.0005046026795849792
418,435,431,-1.2965335274394108e-05,0.0009071994266549188
419,436,432,-1.564523889096768e-05,0.0012014695208508485
420,437,433,-2.0739258140695217e-05,0.0014202502041380605
432,440,436,-1.4361898561999303e-05,0.0008836390393844628
434,443,437,-3.771560918816281e-06,0.0011116067586489007
440,452,446,7.087841530498897e-05,0.002446835064757379
441,455,450,6.295106976031679e-05,0.00315655694814222
447,461,457,7.304887365267036e-05,0.0007873035032975558
452,464,461,9.1030758929724e-05,0.0017864917215475852
453,465,462,9.791907912512606e-05,0.0016598296902265272
454,467,464,9.853549296301321e-05,0.001559289763671957
457,474,470,0.00010598274553993498,0.001437449283968084
458,466,463,8.336595697988525e-05,0.0017776551256329489
479,486,483,-6.262783474548249e-05,0.0017437013204380084
489,508,504,-5.318555940964832e-05,0.0009994408147778154
490,503,497,-6.097699021859562e-05,0.0014807354713638515
491,506,500,-6.984759230510067e-05,0.001846692249892538
493,505,500,-9.20541805651858e-05,0.0020249982174931785
505,519,515,-0.00010889176258987739,0.0027608084785345688
523,536,531,-1.646913244040594e-05,0.003668793975524934
524,537,532,-1.5091900298160082e-05,0.0033022319013625177
525,539,534,-1.2189479722927038e-05,0.002854183810186977
526,542,537,-1.0225015975968366e-05,0.002403724440438938
527,548,541,-8.531608106972936e-06,0.0016799794300202025
528,552,545,-4.90127020053908e-06,0.0010706821195186227
532,547,543,1.3939897455609587e-07,0.0013029454511244672
551,565,559,1.1967775410961523e-05,0.002648329363490115
552,558,553,1.3051975146433929e-05,0.0024698493124714416
575,590,585,3.232159258745367e-05,0.0018297555937026645
576,592,586,3.634874694957818e-05,0.001522567755880378
577,594,588,3.7841523583397124e-05,0.0015169129489055544
578,597,590,3.700240596499091e-05,0.0014949212555521413
579,599,592,3.6070865656004315e-05,0.0013292517653047595
580,600,593,3.5910222221095204e-05,0.0012358006423083656
595,613,608,-1.4369147720545322e-05,0.0006948137964541167
597,616,610,-2.5396161072735098e-05,0.0004577577228158463
597,615,611,-1.9395708905400083e-05,0.0005730171249996174
600,617,612,-2.6949645042510385e-05,0.0007836431842878729
602,619,615,-3.0200398500009492e-05,0.0006836372359823503
603,619,615,-3.578491016660478e-05,0.0004889815464516843
604,615,608,-5.4248360593979216e-05,0.0006965430462118237
635,653,647,4.389020699965126e-05,0.0005312163603627284
642,657,654,4.5229180917628043e-05,0.0005994076146663114
644,660,656,4.052315935376041e-05,0.000758824082462975
647,664,660,4.121582028165408e-05,0.0008990850447634183
655,666,662,4.544467182471796e-05,0.0003425158541183433
656,667,662,4.2663196143698175e-05,0.0007374035656683397
663,678,673,3.567342346932506e-05,0.0016156221722296808
665,680,675,2.7867897591514362e-05,0.0015104981433374815
667,686,680,1.88797547442012e-05,0.0008438679703684429
689,699,696,6.399413648635484e-05,0.0016570668184248186
691,707,702,6.340403232699933e-05,0.0026208144444258424
692,708,703,5.600412215945658e-05,0.0022461001307414034
693,719,711,5.789618391636932e-05,0.0010583381954085546
701,717,713,3.742365977515264e-05,0.0015145850020796823
703,719,715,2.8808718112410505e-05,0.0017179992702634043
708,727,722,-4.997824816147477e-07,0.0015978138637177607
729,737,734,-9.868017822477672e-05,0.0010921768080932018
730,738,734,-0.00010339417559640732,0.0012132015439811632
742,755,750,-6.80036656420872e-05,0.0007255974063517632
745,755,751,-4.606262249121602e-05,0.0012249935940997273
746,757,752,-4.3160535468378906e-05,0.0014181811264694683
747,759,754,-3.879401229462669e-05,0.0015191247355557718
748,761,756,-4.223592077304331e-05,0.0019993949516908193
753,772,767,-5.307722258739674e-05,0.0013300684069272556
775,788,783,6.906220071395203e-05,0.0021987833626131367
775,797,792,4.74695784544127e-06,0.0013751790822050518
777,797,794,6.8950556455522394e-06,0.0010983057338224743
778,793,788,5.997675798442588e-05,0.0029062999414283205
779,794,789,6.121547559268691e-05,0.0026408573107364083
780,795,790,5.891511778468151e-05,0.0024199716493241742
781,799,792,6.118239351810154e-05,0.001562140100406062
786,801,798,6.710618341233422e-05,0.0007869613682829554
786,802,798,6.121880495597801e-05,0.0010344438389963495
787,804,800,5.254652069107181e-05,0.0013037674209906227
788,804,800,4.019120663880782e-05,0.0015055582613438172
789,807,803,3.074630324542881e-05,0.0014519428859224744
791,805,801,9.01951580834655e-06,0.0017761492580913836
791,808,804,2.4918376709224125e-05,0.0014012819458752396
792,808,804,-1.1708266210251357e-06,0.0014397644543079717
806,817,811,-4.424123736246497e-05,0.0010944493759460893
808,815,810,-3.7480947277547426e-05,0.0011786356350561827
810,819,814,-3.159248299725896e-05,0.0013102808264700485
819,830,825,-8.582822327855573e-06,0.0005489406645255713
825,841,837,-2.4834495342134236e-06,0.0007242287111705367
831,848,843,3.94113715043345e-06,0.0009158604226589265
841,858,850,-9.628125921198684e-07,0.0006080722101144432
845,862,855,-5.678519790384537e-06,0.00068258003538205
846,864,857,-6.514661727049495e-06,0.0006801441923194797
849,864,858,-8.494278892300721e-06,0.0005395098517374991
911,918,914,1.5781061470524878e-05,0.00030640407379858137
918,941,934,1.882064543501937e-05,0.00035202976579057853
923,942,937,-8.736934664203105e-06,0.0005847737887257388
943,964,959,-1.473264934784455e-05,0.00043925816655295913
949,957,951,1.9486307697537984e-05,0.0004102929763581176
991,998,995,1.2165155570171987e-05,0.0015918454734518105
992,1000,997,9.030300311117963e-06,0.0017166956383006095
993,1000,997,1.4855348797588567e-05,0.0012637958734955494
1002,1012,1007,6.478083877288708e-05,0.0015543977731284936
1003,1018,1013,6.20695652717828e-05,0.001994947608715652
1004,1020,1015,6.188149472276408e-05,0.0016520453463197298
1005,1020,1015,6.129414438809909e-05,0.0016136727442113126
1019,1038,1032,0.0001417504994774184,0.0012774432074612924
1030,1049,1044,0.0001682712830452384,0.002356757072904446
1031,1051,1045,0.00016308092597813444,0.0017217655592556326
1044,1064,1059,5.407343499750717e-05,0.0029404059635378585
1049,1060,1055,-4.027095742697791e-05,0.0016778358511740537
1050,1058,1053,-4.6907257835225884e-05,0.0019260904743523804
1053,1060,1055,-4.446640092170077e-05,0.0027806451270019103
1055,1064,1059,-3.831212160886251e-05,0.0030027522352068766
1056,1067,1062,-4.467307970027767e-05,0.0032563483769441144
1060,1076,1071,-5.590090368610039e-05,0.0024572131570135517
1061,1076,1071,-5.709642836863592e-05,0.0023033675046975483
1062,1078,1073,-5.7386187997539576e-05,0.0015949316382062792
1086,1102,1097,5.85775459496586e-05,0.002987189115744772
1087,1103,1098,6.29583974136089e-05,0.003082268454520588
1088,1104,1099,6.547943459887176e-05,0.002820803187364524
1089,1107,1101,7.017542857693311e-05,0.0022726877865240267
1090,1108,1101,7.458222860231325e-05,0.0017569993424919805
1102,1121,1116,7.57485646310977e-05,0.001641493365372262
1115,1131,1125,3.825992986050483e-05,0.0021507442462971446
1116,1133,1127,3.405372508796061e-05,0.001976573627938438
1117,1135,1128,3.083072715335397e-05,0.0015960626793629223
1118,1136,1130,2.855216613973344e-05,0.0012650352699046788
1142,1152,1146,-3.814786575980406e-06,0.0009930369359584421
1143,1152,1146,-1.846455401789896e-06,0.000979741073099312
1144,1156,1149,-4.26471422502528e-07,0.0009611803104779974
1145,1159,1152,-1.413141926291189e-07,0.0009526469448141116
1146,1161,1154,1.8604160277266118e-06,0.0008117332850773896
1171,1179,1176,1.2023649528915486e-05,0.0006429134904621525
1178,1193,1188,1.0948742431156002e-05,0.0010464181928447455
1179,1195,1190,1.2320364387576718e-05,0.0008967741196866676
1180,1196,1191,8.735121221185273e-06,0.00102715845445229
1181,1198,1192,7.343779943470671e-06,0.0007420301683071755
1182,1200,1194,2.644735332514428e-06,0.0007477336243975578
1200,1226,1218,-6.108714373111511e-06,0.00055266438868537
1201,1228,1220,-4.551656697058653e-06,0.0006432766950772333
1208,1223,1217,1.2725180304182786e-05,0.0007800571034263025
1209,1223,1218,1.0161452599175909e-05,0.0008558121759542795
1228,1236,1233,-4.308141917596459e-06,0.000794414600535775
1247,1254,1251,2.7854828829141124e-05,0.001534433451302397
1248,1256,1253,2.4166834159173486e-05,0.0018163681377606194
1277,1293,1288,-9.710105484632601e-07,0.0030887624649777253
1278,1294,1289,-4.738157370751742e-06,0.0030403773058034233
1300,1313,1307,-6.548947478817528e-05,0.0012365369595103244
1301,1317,1310,-7.073177264787043e-05,0.001758506545571149
1302,1313,1308,-7.400115720538319e-05,0.0021247713706958006
1303,1314,1309,-7.107203504267049e-05,0.0021345614237994396
1304,1315,1310,-6.41917329086484e-05,0.002061042434525559
1308,1315,1310,-4.2343878875596565e-05,0.0016409613626978251
1310,1326,1320,-3.843656026215711e-05,0.001572079306303424
1311,1327,1322,-4.726682215442843e-05,0.0017170902506775008
1312,1328,1323,-4.946803884645469e-05,0.0011344441638890103
1325,1343,1339,-8.634748456450071e-05,0.0008799083875318728
1337,1348,1344,-6.598388259471579e-06,0.0009099222588795312
1348,1367,1361,-1.9780599517608245e-07,0.0015538302634730014
1355,1369,1366,-1.0196021334542843e-05,0.0017315165440980535
1398,1412,1407,1.7542143291599993e-05,0.0010614874100382064
1399,1413,1407,1.7545556227984298e-05,0.001270198648772564
1404,1422,1414,3.143756208526963e-05,0.001404278052497141
1406,1424,1417,3.2457939190007745e-05,0.001064630974339972
1407,1426,1418,3.0945706857883115e-05,0.0009358066378415025
1408,1426,1419,2.810055548333601e-05,0.0008434877583155176
1423,1438,1434,-1.3322431624118796e-05,0.0007436219417572651
1441,1452,1447,-6.48313785848455e-07,0.0012607252417545791
1442,1452,1446,1.1295489339197741e-06,0.0011114292740052824
1457,1469,1465,5.184610057908368e-06,0.0009581856269111375
1469,1489,1482,-2.04058480218341e-05,0.0008833679195585435
1474,1489,1486,-5.759400397578764e-06,0.0008340591750737342
1487,1497,1494,-2.4723154712450327e-05,0.0003840504591357427
1488,1497,1494,-2.310125343280958e-05,0.00042570888409697847
1489,1498,1493,-2.047419665895554e-05,0.00039699756285077077
1494,1511,1507,-8.160901094978075e-06,0.0004182940539727145
1538,1546,1542,-4.779545856300714e-06,0.0013984075798155712
1549,1560,1557,-2.6821835470879056e-06,0.001692881746278604
1553,1559,1557,0.00010059593668528479,0.0014772081253555025
1554,1561,1558,0.00010420124626070058,0.0015831513621002967
1555,1563,1560,0.00010741618068952864,0.001892654290633393
1559,1571,1567,0.00011460941212258984,0.001817588690471428
1572,1586,1583,9.419523825151735e-05,0.0013433307863937665
1573,1589,1585,8.965966849607674e-05,0.0008812072924810759
1595,1603,1600,-1.4520052740497477e-05,0.0008400897540564113
1612,1620,1617,0.00011120719871034516,0.004532482733438206
1613,1622,1619,0.00011233004597830134,0.005172556347814652
1630,1644,1641,6.53311859871199e-05,0.0063221445231063335
1634,1642,1638,-5.8333926304849094e-05,0.004642177576381296
1647,1656,1650,-7.550662528890735e-05,0.004945065940197427
1648,1658,1652,-7.488055787170428e-05,0.004582984728346043
1649,1660,1653,-7.356552714663433e-05,0.004140656765284102
1650,1661,1654,-7.09933932774196e-05,0.0035898065311492167
1651,1666,1659,-7.03915040773348e-05,0.0031231627586586924
1652,1669,1662,-6.695367572326113e-05,0.0024450725189182954
1684,1701,1694,-2.3433714157734988e-05,0.0013016813844279832
1685,1701,1696,-2.9780903053918122e-05,0.0014768435161173676
1817,1832,1826,5.753907389024681e-05,0.0010247211200862388
1818,1833,1827,6.145262656033169e-05,0.0007704417743086214
1838,1858,1853,7.149803518990627e-05,0.0008206569581499139
1842,1852,1850,-3.678466083458479e-06,0.0009415695033982603
1851,1856,1854,1.533336038906295e-05,0.0015294861202125839
1852,1858,1855,1.706621924180246e-05,0.0015962988433831486
1853,1862,1858,2.2147040899850513e-05,0.0014987817018483963
1857,1875,1871,1.0165326977652807e-05,0.001307058348520929
1859,1868,1866,7.463773261353423e-06,0.002025604148665178
1862,1875,1870,1.8955691591117867e-05,0.0015060354310954393
1874,1891,1886,1.780977688823045e-05,0.001772224090152481
