miny,maxy,center,trend,amplitude
327,334,331,-3.3301403861032336e-05,0.000898134552501296
328,335,332,-2.9089391020430982e-05,0.0006614529420023153
338,346,340,3.215291549904337e-05,0.0006874274206210485
339,355,348,3.4615459575571216e-05,0.0007007239127696808
340,358,352,3.85470720477381e-05,0.0005131129728884908
341,354,348,3.8500848659563774e-05,0.0008504105909363283
342,354,348,4.0320027890264974e-05,0.0008949599173235937
354,369,365,5.498677987080286e-05,0.0007845917534354997
355,371,367,5.504415695566793e-05,0.000666196416335899
356,372,368,5.27978340183152e-05,0.0006245726663004496
373,383,379,6.362449740699751e-05,0.000710310149869414
374,385,380,6.146313995158285e-05,0.0015217285241041212
375,385,381,6.890950944585731e-05,0.0011221665253130406
381,392,389,4.7994082619782375e-05,0.0008256793480529078
400,415,411,4.5597350039516704e-05,0.001102881794498792
404,419,416,-8.511099081496527e-06,0.0010191724433695009
406,422,418,-1.6922261746467862e-05,0.0011933358512929931
414,422,418,-0.00011026650023540349,0.00033883715304730143
415,424,420,-0.00011921276243050864,0.000606377630172263
417,422,418,-0.00012699779890457732,0.0008805616355037375
418,424,420,-0.00012706191823275912,0.0010116618757683032
419,428,424,-0.000131548323152655,0.0013394900750696521
421,432,427,-0.00013629967559390132,0.00155557588043941
444,459,455,-5.184610452680287e-05,0.0011005624493332768
447,464,459,-4.273838607169664e-05,0.001216340511631364
457,465,462,-1.434388372694228e-05,0.002241865992807685
470,488,481,2.9523409714990005e-05,0.0014266642533578987
471,485,478,1.924940758859349e-05,0.001993911324433779
472,486,482,1.9887024355327174e-05,0.0013586577042712037
473,487,480,2.2251586603426492e-05,0.0013863074288732618
484,496,493,2.0562527429593954e-05,0.0021936862584857365
485,498,495,2.3686490582031114e-05,0.0021569658330536064
487,501,498,2.525337821415692e-05,0.0023358878801600755
488,502,499,2.3341058872171324e-05,0.002058218918871481
489,505,501,1.733810822075667e-05,0.001627169235673333
491,509,505,1.1178944761422144e-05,0.0015467537948002164
500,513,510,2.5482481280224046e-05,0.0009647799248917743
502,516,511,3.0745141781340255e-06,0.001930450360213493
525,537,534,-6.65148188291514e-06,0.0007655603124906809
530,544,541,-1.4962114523365837e-05,0.000743716071324955
544,551,547,6.0211973068230515e-05,0.0005177997492524599
545,555,551,5.8100497707633675e-05,0.0009763224152525272
563,577,574,4.176993314866765e-05,0.001341131554408898
564,580,576,3.9766634393362995e-05,0.0016361337907673916
582,597,591,-1.3523756882110112e-05,0.0016842342318377059
583,599,593,-1.6042859175595273e-05,0.001413073182468912
584,600,593,-1.7480876047104026e-05,0.0010904784299071732
585,604,597,-2.139182183268834e-05,0.0009048552420758265
586,606,599,-2.4677538770491482e-05,0.0005689883755489397
607,615,610,-2.5788449693435834e-05,0.0009523752786602327
632,650,644,-1.765087605960013e-05,0.000578174427036549
647,665,661,-1.7873853708319203e-05,0.0007907526619583654
647,667,663,-1.7023749214845504e-05,0.0005184208476471001
653,669,664,-1.4279309390966009e-05,0.0006923405939290126
661,668,665,9.185690376046362e-06,0.0009104190094543855
662,669,666,4.404598350043302e-06,0.0011009936976753938
673,683,681,-1.7847191924176886e-05,0.0012280309493642207
674,686,683,-7.582434665338345e-06,0.00206675846710899
681,688,685,2.639944501430533e-05,0.0024743980826806315
682,690,687,2.940044722619465e-05,0.0020856610135710665
683,691,688,3.39094028406929e-05,0.0022977284667207716
691,706,701,6.0359921878701434e-06,0.0033302480072296666
692,709,704,8.330307892815532e-06,0.002372113643580979
704,711,708,-3.2669587254447257e-06,0.0025202658076235946
713,729,724,-1.8498768633793076e-05,0.0028514754425423734
714,730,725,-2.8441120777954865e-05,0.0033720747021601613
714,742,734,1.519804437424587e-06,0.002433047553124088
715,731,725,-3.1311311967470946e-05,0.002814051845414709
717,734,727,-4.39669846079e-05,0.00280368603419442
742,770,762,-3.883960832463551e-05,0.0010320497266212
743,757,751,3.975396166315486e-05,0.0021192189217374416
744,758,753,3.936452280083619e-05,0.002562197335402126
747,763,758,3.867978692274824e-05,0.0019538947793609385
748,765,760,4.2857284845001935e-05,0.0015939366936011537
749,767,762,4.644397517752526e-05,0.0011485503441257758
758,766,763,0.0001082600883528499,0.002000027764130543
767,792,785,0.0001144539132559223,0.0014037690889214566
769,781,778,0.00014289992783901462,0.002383779811560666
769,785,780,0.00015481906386808877,0.0020633772101928977
771,783,780,0.00016313291787957128,0.002592780523047495
774,789,784,9.266296557498478e-05,0.0026938338868233366
775,790,783,8.8093625047567e-05,0.002216844306144609
776,791,784,8.236556328887392e-05,0.0017917021698183727
777,797,791,8.073964843525421e-05,0.0008898904172338828
784,798,794,6.519405897056266e-05,0.0018564671306350886
785,799,795,5.719167057919105e-05,0.0019519653186162466
786,802,798,5.1557950496211253e-05,0.0025622824302155853
787,803,799,4.447505738207659e-05,0.0027396669116164576
788,805,801,2.5470812996618223e-05,0.001713142505676133
791,809,805,1.8916049189407847e-05,0.002714897438230431
804,818,813,1.5800165348873432e-05,0.002983034219337896
805,820,815,1.6225429139080098e-05,0.0025693313185448474
806,824,818,2.0902490179250977e-05,0.0016506496679309737
807,830,823,2.3917035700585095e-05,0.001093517243554483
812,827,823,2.3799334865262893e-05,0.0010766221894095455
814,831,827,2.078043138540222e-05,0.001278829111837604
830,837,831,-2.2918175375621906e-05,0.0017149301575287675
831,840,834,-2.1545171586527716e-05,0.0018278792672193971
832,842,836,-1.9230026903395832e-05,0.0018943189993641822
833,844,838,-1.852679089179379e-05,0.0020698797387677602
834,847,842,-1.9481086662084144e-05,0.002264849652675393
838,853,848,-5.628191234996256e-06,0.0014650255619290445
850,868,863,6.0159660877593345e-06,0.0006922258026350926
852,871,865,6.276404478588015e-06,0.0007702511437357311
903,919,914,1.622002324235866e-05,0.00047585111276268136
906,922,918,1.3754258213392898e-05,0.0005921575798328544
907,923,919,1.3492157383823793e-05,0.000635313526564321
908,924,920,1.0752842346106795e-05,0.0005402702899723902
910,926,922,9.2427481317765e-06,0.0007390964799924355
913,930,926,7.50369071703281e-06,0.00068922152483244
915,934,930,4.264460234371158e-06,0.0004651771889319513
939,954,950,-3.009140082869403e-05,0.0005523415780765759
941,957,953,-3.7251055322366615e-05,0.0008347047561830501
953,961,958,-1.832419771640467e-05,0.0004448073402629692
954,965,960,-2.388440841111135e-05,0.0012841925460325343
955,966,961,-2.4498600810395038e-05,0.0015618758196910714
956,967,962,-1.991575704884393e-05,0.0015824195034114254
