miny,maxy,center,trend,amplitude
226,237,232,-3.847100649256678e-05,0.002823149322862372
253,272,267,-1.0829108550353555e-05,0.0006238926751844313
254,270,266,-2.6511023570073848e-05,0.00045337808562068084
256,273,269,-1.6657026297864267e-05,0.0003307656757131415
266,280,277,-6.746698144438028e-06,0.0006641532979559437
267,280,274,-6.374492322364716e-06,0.0007333038409130584
268,279,274,-2.5538162913600143e-06,0.000704045755849235
285,299,296,-5.634397556822892e-06,0.0008757890785842346
286,302,298,-6.61683348037699e-06,0.0009625589480635454
303,319,313,5.6428900806179345e-06,0.001060916686072491
304,321,314,5.585968513885563e-06,0.0009977469933017884
305,320,315,3.366054230830269e-06,0.0010927518974933664
306,323,317,3.6247575447464496e-06,0.0008456121268560151
320,336,331,-2.1159498410293602e-05,0.0008045636401337259
321,337,333,-2.124435411368969e-05,0.0010261364944042766
329,335,332,-2.4708570089342617e-05,0.0006542096863871601
335,350,345,-3.045385747846297e-05,0.0015621702128230297
336,351,346,-2.7639201483106516e-05,0.0014204698235950205
337,347,342,-2.487149777057409e-05,0.0011809735077096197
357,383,375,-1.8732777935048417e-05,0.0007402288032625726
360,368,363,-8.455043810912324e-06,0.0005615679515882756
361,372,366,-8.374895062257863e-06,0.0005910501942214745
362,376,371,-1.175908751149643e-05,0.0009185647751776897
363,376,369,-9.993351000781424e-06,0.0006938617757141508
364,378,371,-1.550042874803705e-05,0.0013443764792985243
367,383,378,-1.907411714622253e-05,0.0008852271206943509
368,389,381,-1.629137746114003e-05,0.0005801640899124294
374,387,384,-1.1396828870068194e-05,0.0008327601773989022
394,398,396,1.4646416973621945e-05,0.0010924220138211172
395,402,398,1.612017321172624e-05,0.0014690981014974117
404,419,414,6.892332631979218e-05,0.001512300506760476
413,431,426,8.425967675174608e-05,0.0008375334646349345
425,441,436,3.105791244718029e-05,0.001568069230594286
436,443,440,-3.339047521825276e-05,0.001439098708192938
451,460,455,-1.1178808436374614e-05,0.0013609150037019722
452,463,458,-2.29272460051387e-05,0.002133842100766372
458,475,470,-1.0482142622211852e-05,0.0013094617958236672
470,487,483,1.2480010786124667e-06,0.0011272893291445491
474,497,491,-1.0471470300053679e-05,0.0012089841578952125
475,498,492,-1.0820323693808673e-05,0.001157164506448649
478,488,486,-7.449412506079266e-05,0.0012903388409024833
479,492,489,-6.619121772168552e-05,0.0022590786780875578
480,493,490,-6.302295863434425e-05,0.002685231696264508
482,495,492,-6.40684592610808e-05,0.0027021958786313696
498,508,504,-5.937058153478756e-05,0.0015143421463794792
499,509,505,-6.281205862524169e-05,0.0018214922652426166
500,510,505,-6.333874104310453e-05,0.002156730358689538
501,511,506,-6.0250523361522205e-05,0.0020987694557660324
502,512,508,-5.4089545674089854e-05,0.0019129661017846368
514,527,524,-1.3202243866353815e-06,0.0010711185750719408
515,530,526,1.9613473170525548e-06,0.0010402121861855112
515,531,527,3.1498763630184632e-06,0.0008007865479372854
519,537,532,6.352606193152954e-06,0.0011091218635142135
521,533,529,1.624412704352954e-05,0.0010535450680280469
526,542,537,2.314393193250623e-05,0.0007413649128143407
570,577,574,-6.399925955415161e-06,0.0003765780538593111
598,613,610,-7.532275834526456e-06,0.0003214132545808891
600,616,612,-6.526685304937859e-06,0.0006818920110499769
601,608,605,3.0192580530533095e-07,0.00047538152097363726
602,610,607,-2.072200426580882e-06,0.0005636747073752283
611,628,624,-1.13154340757223e-05,0.0006261447839653317
635,650,644,-7.350579153902015e-06,0.0007503669994925176
636,652,646,-8.361766212303445e-06,0.0008039635279453046
641,657,654,-1.1460722550241984e-07,0.0002731824477724702
654,667,664,-4.749438048806395e-05,0.0010343199164267916
655,669,666,-5.1551650215567865e-05,0.0011209144784032215
657,671,668,-5.648487478828537e-05,0.0012700230701655408
657,672,669,-6.660858882216158e-05,0.0008294002208113534
659,674,670,-7.335519037334205e-05,0.001188183205419283
659,675,671,-8.3661530815851e-05,0.0007704201622683063
667,674,671,-0.0001030341403707909,0.0007161050959958171
672,683,679,-0.00010838099403890048,0.0017736362244366488
673,683,678,-0.0001020672134277952,0.0016585516449655895
681,687,685,-4.2857886716701455e-05,0.0006277337069902276
683,691,688,-4.411512623607329e-05,0.0014869313130820123
684,692,689,-4.809099624448383e-05,0.0017373915999449804
693,702,700,-3.851679647654044e-05,0.0008161625025726559
735,763,760,4.22315115049524e-05,0.0016598870895904575
738,758,750,7.111843857260988e-05,0.001161320738800677
739,759,752,6.984840641746682e-05,0.001157295268853442
742,761,754,6.260932397789565e-05,0.0014111029986998806
744,766,759,5.523141270555242e-05,0.0014132563372441613
752,767,764,3.1986403157359054e-05,0.0010680091384562445
753,769,765,2.848919306802749e-05,0.0008754407933637501
755,772,768,2.0420241777896628e-05,0.0005637791137147054
768,779,774,7.550787203012164e-05,0.0009726838590327023
786,802,798,6.478682828631752e-05,0.0015078724598487942
788,806,801,4.4685223383682635e-05,0.0013694323136188864
