miny,maxy,center,trend,amplitude
231,249,244,-3.847100649256678e-05,0.002281601004081162
232,250,245,-3.897279916655964e-05,0.002455232536798833
236,258,252,-3.576422969375632e-05,0.002298561416858218
240,266,258,-2.728996356981864e-05,0.0017715977112575108
248,258,251,-9.794343845268457e-06,0.001588220476434901
249,259,252,-9.93853857564001e-06,0.0013138122624670016
250,261,254,-1.0829108550353555e-05,0.00101695474138369
280,287,284,-5.634397556822892e-06,0.0007516708273373692
290,306,300,-7.886547418981232e-06,0.0011515134930302174
299,315,311,-1.4378756809009e-05,0.0007435648845489382
317,329,322,-2.124435411368969e-05,0.0009747391458904297
318,330,324,-1.9682245956295555e-05,0.001355864975127995
333,346,343,-2.4708570089342617e-05,0.0007867306970295563
367,385,380,-9.993351000781424e-06,0.0004633581259557041
369,377,373,-1.1396828870068194e-05,0.0006500008246812811
370,380,376,-6.844066918092193e-06,0.0007783540696463004
371,381,377,-6.374200809972725e-06,0.0006573411817694333
380,397,391,-4.425030558644855e-05,0.00046917575645599507
381,397,392,-4.4878729340633745e-05,0.0007112060590640956
382,399,393,-4.808259865609342e-05,0.0004523339518639124
383,398,393,-4.8948218618296866e-05,0.0006782903965430776
399,413,410,1.612017321172624e-05,0.0021272228148367252
412,437,430,6.185127795512513e-05,0.0014909386626780453
414,420,416,9.507330495495724e-05,0.0019009302197088517
417,446,443,7.597369718466731e-05,0.00123072258372315
418,430,427,7.947110988556034e-05,0.0009915284199860258
427,433,431,2.5796245433195484e-05,0.0012900535007132922
437,457,453,2.9056827565111502e-05,0.0007659649236025593
439,457,451,-4.2361958031262574e-05,0.0008071216830030832
440,454,449,-3.496497632430593e-05,0.0012470759962181447
441,456,449,-2.9616793339889295e-05,0.0013576528032409317
442,457,453,-2.7657574464717464e-05,0.0010880801570382092
443,459,455,-2.70898132033232e-05,0.0010518072125065285
456,470,467,-1.1178808436374614e-05,0.001958153087746519
462,469,466,-3.4729112755750195e-06,0.0012324472692821832
474,496,491,-7.449412506079266e-05,0.0012794821930290471
475,479,477,-6.619121772168552e-05,0.0017281884850063516
476,481,479,-6.302295863434425e-05,0.0019301204509026377
477,483,480,-6.40684592610808e-05,0.0019958593011049513
478,486,483,-6.904204314462709e-05,0.0019268156711774154
502,516,512,-5.937058153478756e-05,0.00176875518434494
503,518,514,-6.281205862524169e-05,0.0022928371181945737
508,515,512,-4.584328879439758e-06,0.001027224078380685
509,515,512,-1.3202243866353815e-06,0.0008967752231609523
510,521,515,1.9613473170525548e-06,0.0008073221507185624
511,521,516,3.1498763630184632e-06,0.0007691362989411095
516,526,521,1.5167346980103982e-05,0.0012895206542515914
547,567,560,6.960332210273026e-06,0.000578869230895213
549,567,560,6.36656049867089e-06,0.00042070292138192823
591,601,596,-5.220495240806681e-06,0.00040183263805807894
592,603,598,-5.228579417971188e-06,0.0003792255213245698
620,631,626,-1.6619277589485955e-05,0.000773702403712543
621,638,633,-1.8043880304859e-05,0.0007696996465928515
622,632,629,-1.13154340757223e-05,0.0006574799170003342
622,639,634,-1.7935471087098733e-05,0.0007546683373724583
623,641,635,-1.5930845174697296e-05,0.0007520847782122482
624,643,637,-1.4691528021427994e-05,0.0006650600579035586
637,658,651,-1.1625076473307583e-05,0.0005060860224835109
649,672,668,-4.781929117692352e-05,0.0005751990719857337
650,655,653,-4.749438048806395e-05,0.0007497020274989555
651,657,654,-5.1551650215567865e-05,0.0008043560535939421
652,662,657,-5.648487478828537e-05,0.0009082016581593344
653,664,659,-6.660858882216158e-05,0.0005944132835867424
677,694,690,-0.0001020672134277952,0.0015201154926074549
685,695,693,-4.2857886716701455e-05,0.0007048551452923564
694,699,696,-8.885327412371827e-05,0.0016023361403911173
695,705,701,-8.25028528642114e-05,0.002443699907382374
713,729,725,-5.63050604619919e-05,0.002421917010025947
715,723,720,-1.1857133457267203e-05,0.0026194129374878653
728,743,736,7.703071577593842e-05,0.002215893672171244
748,757,754,3.1986403157359054e-05,0.0010016199879829303
749,758,754,2.848919306802749e-05,0.0008544636891130343
755,771,766,1.720978264403757e-05,0.0011311489432687624
782,789,785,6.974093649001128e-05,0.000850629643477412
783,791,787,6.478682828631752e-05,0.0012520264073334277
792,803,798,-1.585666531859909e-05,0.0015850901810275963
793,805,799,-2.1897547065956775e-05,0.0013373258905961093
794,809,803,-2.9125364258322317e-05,0.001059506748182706
795,807,800,-3.525359354920269e-05,0.0008840211129777045
796,807,802,-3.9582255900121034e-05,0.0009493721459809648
800,814,810,-5.681762600220685e-05,0.0013871695916564603
801,817,813,-6.0405091431028786e-05,0.0012852735563918846
810,828,824,-3.865890343988094e-05,0.000713740985914831
