miny,maxy,center,trend,amplitude
2018.09.28 18:50:00,2018.09.28 19:45:00,2018.09.28 19:20:00,-3.847100649256678e-05,0.002823149322862372
2018.09.28 21:05:00,2018.09.28 22:40:00,2018.09.28 22:15:00,-1.0829108550353557e-05,0.0006238926751844313
2018.09.28 21:10:00,2018.09.28 22:30:00,2018.09.28 22:10:00,-2.6511023570073848e-05,0.0004533780856206808
2018.09.28 21:20:00,2018.09.28 22:45:00,2018.09.28 22:25:00,-1.6657026297864267e-05,0.0003307656757131415
2018.09.28 22:10:00,2018.09.28 23:20:00,2018.09.28 23:05:00,-6.746698144438027e-06,0.0006641532979559438
2018.09.28 22:15:00,2018.09.28 23:20:00,2018.09.28 22:50:00,-6.374492322364717e-06,0.0007333038409130584
2018.09.28 22:20:00,2018.09.28 23:15:00,2018.09.28 22:50:00,-2.5538162913600143e-06,0.0007040457558492349
2018.09.28 23:45:00,2018.10.01 00:55:00,2018.10.01 00:40:00,-5.634397556822893e-06,0.0008757890785842347
2018.09.28 23:50:00,2018.10.01 01:10:00,2018.10.01 00:50:00,-6.61683348037699e-06,0.0009625589480635453
2018.10.01 01:15:00,2018.10.01 02:35:00,2018.10.01 02:05:00,5.642890080617935e-06,0.001060916686072491
2018.10.01 01:20:00,2018.10.01 02:45:00,2018.10.01 02:10:00,5.585968513885563e-06,0.0009977469933017884
2018.10.01 01:25:00,2018.10.01 02:40:00,2018.10.01 02:15:00,3.366054230830269e-06,0.0010927518974933664
2018.10.01 01:30:00,2018.10.01 02:55:00,2018.10.01 02:25:00,3.6247575447464492e-06,0.0008456121268560151
2018.10.01 02:40:00,2018.10.01 04:00:00,2018.10.01 03:35:00,-2.11594984102936e-05,0.0008045636401337259
2018.10.01 02:45:00,2018.10.01 04:05:00,2018.10.01 03:45:00,-2.124435411368969e-05,0.0010261364944042766
2018.10.01 03:25:00,2018.10.01 03:55:00,2018.10.01 03:40:00,-2.4708570089342613e-05,0.0006542096863871601
2018.10.01 03:55:00,2018.10.01 05:10:00,2018.10.01 04:45:00,-3.045385747846297e-05,0.0015621702128230295
2018.10.01 04:00:00,2018.10.01 05:15:00,2018.10.01 04:50:00,-2.763920148310652e-05,0.0014204698235950205
2018.10.01 04:05:00,2018.10.01 04:55:00,2018.10.01 04:30:00,-2.487149777057409e-05,0.0011809735077096194
2018.10.01 05:45:00,2018.10.01 07:55:00,2018.10.01 07:15:00,-1.8732777935048417e-05,0.0007402288032625727
2018.10.01 06:00:00,2018.10.01 06:40:00,2018.10.01 06:15:00,-8.455043810912324e-06,0.0005615679515882756
2018.10.01 06:05:00,2018.10.01 07:00:00,2018.10.01 06:30:00,-8.374895062257863e-06,0.0005910501942214745
2018.10.01 06:10:00,2018.10.01 07:20:00,2018.10.01 06:55:00,-1.1759087511496429e-05,0.0009185647751776897
2018.10.01 06:15:00,2018.10.01 07:20:00,2018.10.01 06:45:00,-9.993351000781424e-06,0.0006938617757141508
2018.10.01 06:20:00,2018.10.01 07:30:00,2018.10.01 06:55:00,-1.550042874803705e-05,0.0013443764792985245
2018.10.01 06:35:00,2018.10.01 07:55:00,2018.10.01 07:30:00,-1.9074117146222533e-05,0.0008852271206943508
2018.10.01 06:40:00,2018.10.01 08:25:00,2018.10.01 07:45:00,-1.629137746114003e-05,0.0005801640899124294
2018.10.01 07:10:00,2018.10.01 08:15:00,2018.10.01 08:00:00,-1.1396828870068195e-05,0.0008327601773989022
2018.10.01 08:50:00,2018.10.01 09:10:00,2018.10.01 09:00:00,1.4646416973621945e-05,0.0010924220138211172
2018.10.01 08:55:00,2018.10.01 09:30:00,2018.10.01 09:10:00,1.6120173211726237e-05,0.0014690981014974114
2018.10.01 09:40:00,2018.10.01 10:55:00,2018.10.01 10:30:00,6.892332631979217e-05,0.0015123005067604759
2018.10.01 10:25:00,2018.10.01 11:55:00,2018.10.01 11:30:00,8.425967675174608e-05,0.0008375334646349345
2018.10.01 11:25:00,2018.10.01 12:45:00,2018.10.01 12:20:00,3.105791244718029e-05,0.001568069230594286
2018.10.01 12:20:00,2018.10.01 12:55:00,2018.10.01 12:40:00,-3.339047521825276e-05,0.001439098708192938
2018.10.01 13:35:00,2018.10.01 14:20:00,2018.10.01 13:55:00,-1.1178808436374614e-05,0.0013609150037019722
2018.10.01 13:40:00,2018.10.01 14:35:00,2018.10.01 14:10:00,-2.29272460051387e-05,0.0021338421007663718
2018.10.01 14:10:00,2018.10.01 15:35:00,2018.10.01 15:10:00,-1.0482142622211854e-05,0.0013094617958236672
2018.10.01 15:10:00,2018.10.01 16:35:00,2018.10.01 16:15:00,1.248001078612467e-06,0.0011272893291445491
2018.10.01 15:30:00,2018.10.01 17:25:00,2018.10.01 16:55:00,-1.047147030005368e-05,0.0012089841578952125
2018.10.01 15:35:00,2018.10.01 17:30:00,2018.10.01 17:00:00,-1.0820323693808673e-05,0.001157164506448649
2018.10.01 15:50:00,2018.10.01 16:40:00,2018.10.01 16:30:00,-7.449412506079266e-05,0.0012903388409024833
2018.10.01 15:55:00,2018.10.01 17:00:00,2018.10.01 16:45:00,-6.619121772168552e-05,0.0022590786780875573
2018.10.01 16:00:00,2018.10.01 17:05:00,2018.10.01 16:50:00,-6.302295863434425e-05,0.002685231696264508
2018.10.01 16:10:00,2018.10.01 17:15:00,2018.10.01 17:00:00,-6.40684592610808e-05,0.0027021958786313696
2018.10.01 17:30:00,2018.10.01 18:20:00,2018.10.01 18:00:00,-5.937058153478756e-05,0.0015143421463794794
2018.10.01 17:35:00,2018.10.01 18:25:00,2018.10.01 18:05:00,-6.281205862524169e-05,0.0018214922652426168
2018.10.01 17:40:00,2018.10.01 18:30:00,2018.10.01 18:05:00,-6.333874104310453e-05,0.002156730358689538
2018.10.01 17:45:00,2018.10.01 18:35:00,2018.10.01 18:10:00,-6.0250523361522205e-05,0.0020987694557660324
2018.10.01 17:50:00,2018.10.01 18:40:00,2018.10.01 18:20:00,-5.408954567408986e-05,0.0019129661017846368
2018.10.01 18:50:00,2018.10.01 19:55:00,2018.10.01 19:40:00,-1.3202243866353815e-06,0.0010711185750719408
2018.10.01 18:55:00,2018.10.01 20:10:00,2018.10.01 19:50:00,1.9613473170525548e-06,0.0010402121861855112
2018.10.01 18:55:00,2018.10.01 20:15:00,2018.10.01 19:55:00,3.1498763630184632e-06,0.0008007865479372853
2018.10.01 19:15:00,2018.10.01 20:45:00,2018.10.01 20:20:00,6.352606193152954e-06,0.0011091218635142137
2018.10.01 19:25:00,2018.10.01 20:25:00,2018.10.01 20:05:00,1.624412704352954e-05,0.0010535450680280467
2018.10.01 19:50:00,2018.10.01 21:10:00,2018.10.01 20:45:00,2.3143931932506227e-05,0.0007413649128143407
2018.10.01 23:30:00,2018.10.02 00:05:00,2018.10.01 23:50:00,-6.399925955415161e-06,0.00037657805385931113
