miny,maxy,center,trend,amplitude
2018.10.15 20:35:00,2018.10.15 21:15:00,2018.10.15 21:00:00,-1.4649164304629698e-06,0.00110766681705614
2018.10.15 21:15:00,2018.10.15 22:00:00,2018.10.15 21:35:00,-1.0325630894018386e-07,0.0013805465937145175
2018.10.16 02:10:00,2018.10.16 03:35:00,2018.10.16 03:15:00,1.7566539096220756e-05,0.0004934621416302159
2018.10.16 02:15:00,2018.10.16 03:40:00,2018.10.16 03:20:00,1.6972384896617192e-05,0.0005808754271948787
2018.10.16 02:35:00,2018.10.16 04:05:00,2018.10.16 03:45:00,1.4414722882476548e-05,0.0007659837919066046
2018.10.16 02:45:00,2018.10.16 03:30:00,2018.10.16 03:10:00,8.355068509740977e-06,0.0004671583414019422
2018.10.16 02:50:00,2018.10.16 03:45:00,2018.10.16 03:20:00,9.40132386851924e-06,0.0006006488997040799
2018.10.16 03:45:00,2018.10.16 05:25:00,2018.10.16 05:00:00,-3.938592394803516e-05,0.0003588386657975152
2018.10.16 03:50:00,2018.10.16 04:10:00,2018.10.16 04:00:00,-3.859272432165353e-05,0.0006060085489863907
2018.10.16 03:55:00,2018.10.16 04:25:00,2018.10.16 04:10:00,-4.0488428539592825e-05,0.000627568184380095
2018.10.16 04:00:00,2018.10.16 04:40:00,2018.10.16 04:25:00,-4.3249448978004764e-05,0.0007021163861372563
2018.10.16 05:25:00,2018.10.16 06:40:00,2018.10.16 06:25:00,-3.722293451552252e-05,0.0006968010937709549
2018.10.16 05:35:00,2018.10.16 07:00:00,2018.10.16 06:40:00,-3.3773361676033974e-05,0.0006737515756543987
2018.10.16 05:50:00,2018.10.16 07:35:00,2018.10.16 07:05:00,-2.449930933937084e-05,0.0005653417675938466
2018.10.16 07:05:00,2018.10.16 08:30:00,2018.10.16 08:00:00,6.496582491966042e-08,0.001137854072172789
2018.10.16 07:50:00,2018.10.16 09:10:00,2018.10.16 08:50:00,1.3523157153598924e-05,0.0009017212219606496
2018.10.16 07:55:00,2018.10.16 09:15:00,2018.10.16 08:55:00,1.2892851029829345e-05,0.0012713349786521715
2018.10.16 08:20:00,2018.10.16 09:25:00,2018.10.16 09:05:00,7.77496353910165e-05,0.0008736363590038184
2018.10.16 08:45:00,2018.10.16 09:40:00,2018.10.16 09:30:00,7.339949049261699e-05,0.0007751650390354375
2018.10.16 08:50:00,2018.10.16 09:50:00,2018.10.16 09:35:00,7.35129380992096e-05,0.0009393031224900784
2018.10.16 11:35:00,2018.10.16 12:55:00,2018.10.16 12:35:00,-3.7565314356188816e-05,0.0011827752724721914
2018.10.16 11:45:00,2018.10.16 13:10:00,2018.10.16 12:50:00,-3.4153862654830744e-05,0.0013912222132045722
2018.10.16 12:30:00,2018.10.16 13:25:00,2018.10.16 12:55:00,4.2241504420237206e-05,0.0002571031771098494
2018.10.16 13:25:00,2018.10.16 14:10:00,2018.10.16 13:45:00,3.1156687389006675e-05,0.0012225521226898134
2018.10.16 13:30:00,2018.10.16 14:25:00,2018.10.16 14:00:00,3.578396049337705e-05,0.0014554356370798812
