miny,maxy,center,trend,amplitude
332,346,343,-2.9089391020430982e-05,0.0008050897968201743
344,359,354,3.85470720477381e-05,0.00060385581984402
351,363,359,5.498677987080286e-05,0.0006479383873018956
352,364,359,5.504415695566793e-05,0.000639589604309724
353,364,359,5.27978340183152e-05,0.0006317304019875379
354,363,357,4.891965996592236e-05,0.0005467706984014056
377,392,388,6.362449740699751e-05,0.0009119890190015895
379,395,391,6.890950944585731e-05,0.0012029206824243248
380,397,393,7.96449675375192e-05,0.0009258372288157328
383,401,396,8.03511144947117e-05,0.0016765125039802185
389,413,406,9.218964217826566e-05,0.001018519694403565
395,425,422,0.00011704142699867353,0.0007084178710025488
397,407,404,4.5597350039516704e-05,0.0007745617363944034
401,408,404,-8.511099081496527e-06,0.000743089436540965
402,410,406,-1.6922261746467862e-05,0.001030833401162703
418,433,429,-0.00011921276243050864,0.0006949659538444149
418,434,430,-0.00012484049470597533,0.000811700262915706
418,434,430,-0.00012699779890457732,0.000888752582173825
419,435,431,-0.00012706191823275912,0.0009384078845938964
423,439,434,-0.00014297071569367115,0.0008603435161750582
423,440,436,-0.000131548323152655,0.0012044482071798827
434,450,445,-8.465267582706772e-05,0.001660166151914381
435,453,447,-7.927494307964248e-05,0.001436323898393668
436,454,448,-7.162951701511902e-05,0.0013779073117628127
437,457,451,-6.572950204956352e-05,0.0012041731053249528
454,474,470,-5.184610452680287e-05,0.0008467666076402952
456,466,463,-4.216424146933037e-05,0.0013108983419781416
456,472,467,-1.1010831440019975e-06,0.001625207761109533
458,469,466,-3.605580196931109e-05,0.0013690627496771458
464,471,468,1.4372175283389566e-05,0.001929088292904319
465,473,470,2.9691790632022072e-05,0.0023487119513659078
480,485,483,2.0562527429593954e-05,0.0017421928014796787
481,487,485,2.3686490582031114e-05,0.0016887579449479124
482,488,486,2.525337821415692e-05,0.00176013010618661
483,493,488,2.3341058872171324e-05,0.0015494852735308368
484,495,489,1.733810822075667e-05,0.0012547482269754065
488,504,499,6.194230275290029e-06,0.0015926561850143068
489,507,502,1.3593171441479193e-06,0.001460129566424654
490,506,501,5.2724927007282265e-06,0.0015605042267341162
491,510,505,6.412373042146335e-06,0.0013190558742047808
492,511,507,5.597535179791753e-06,0.0012937619229303474
495,518,516,2.5482481280224046e-05,0.0010873033899278307
521,544,539,-6.65148188291514e-06,0.0008158376068789582
523,530,527,-1.1148976896177284e-05,0.0006937403410573502
524,531,528,-1.2518577202833162e-05,0.0007677590639139054
545,561,557,6.0211973068230515e-05,0.0004337112016342836
558,562,560,4.350862992994291e-05,0.0006539359617853954
559,567,563,4.176993314866765e-05,0.0009718672580405506
